Beer_ID,Beer_Name,Brewery_ID,ABV,IBU,Description,No_of_Ratings,Style,Overall_Rating
64854,077XX,9558,7.8,80,"Like all things truly Jersey, 077XX makes the most in balancing through its accentuation of extremes. Inspired by the west coast IPAs we love, we added a thump of hops to a dynamic malt profile and chose a yeast to drive these two further than they wanted to go. Throw our water into this mix and you will find dank green resinous hops popping over orange, mango and papaya aromas, with just enough sweetness of body to make the long finish a pleasure to have around. A double IPA perfect for adding fuel to the fire of a dinner, a game, or an idea, drink it when your night matters.",4,"['Ipa - Imperial', 'Double']",4.082
1134845,White Angel,37851,7.4,0,Barrel-Aged American Sour Ale with Wild Grapes,1,['Sour Ale'],4.264
889213,Kentucky Common,11106,6,0,,1,['Sour Ale'],3.457
11470,The Raven Special Lager,69,5.5,0,"The Raven Special Lager is a perfect balanced lager beer that goes well with any kind of food, but particularly with spicy food or when you just want to sit down and enjoy a beer with friends.  With a shot of Woodford Reserve chased with chilled Raven is a near perfect combination. The rich golden colored beer is an exceptionally smooth Southern German lager, somewhat malty but well balanced between the hops and malt.  Experiencing the clean finish and pleasant lingering aftertaste of The Raven Special Lager, one can truly say that The Taste Is Poetic.",1,"['Lager - Vienna', 'Amber']",3.395
205052,The Pardoner's Ale,13866,3.8,0,"A light pale ale, honey notes giving way to spicy, orange & citrus hops",1,['Pale Ale - English'],3.352
1438392,Red IPA,2618,5.4,0,,1,['Ipa - American'],3.313
1050015,(717) Collaboration Ale,2583,7.17,72,"Some of the brightest ideas have come to fruition when friends share stories and a few laughs over a beer. Whether Central PA natives or transplants, we’ve been brought together in the 717 with one common goal – to brew great beer among great company. (717) Collaboration Ale blends the dry-hopped characteristics of an IPA with the sweetness of local honey, saison yeast and a hint of tartness. The vibrant aroma and bone dry finish come straight from the hearts and minds of Tröegs Brewing Company, Appalachian Brewing Company and Pizza Boy Brewing Company. ",1,['Ipa - American'],3.642
1332416,The Scribe,64810,13,0,"Aged in TWCP Elijah Craig 12 and Henry McKenna barrels and a Cabernet barrel, The Scribe is a collaboration between Side Project and Perennial Artisan Ales. Its a huge, rich, soured Quad that was inspired by our favorite mead called The Heart of Darkness from Schramm's. It was aged in a Cabernet and bourbon barrels on black currants, sweet cherries and raspberries before being blended back and bottle conditioned.",1,['American Wild Ale'],4.744
1375900,IPA 9.0,161821,6.4,0,,1,['Ipa - American'],4.043
889376,Saison Blue,69953,6.4,35,"A light saison that features locally sourced organic wheat from Blue Oven Farm, toasted in a wood fired oven. Spicy pepper notes are enhanced by orangey mandarina bavaria hops.",1,"['Saison', 'Farmhouse Ale']",3.514
1428328,Rose Bud Blonde,139166,6.6,0,,2,['Blonde Ale'],3.553
4933,Best Extra Stout,397,6.3,0,"Now here's a beer with punch! 

Coopers Best Extra Stout is a beacon for lovers of a hearty brew. With its robust flavour it is everything a stout should be. 

Brewed naturally using a top fermentation method, Coopers Stout's unique rich, dark texture comes from specially roasted black malt. 

Coopers Best Extra Stout contains no additives and no preservatives.",1,"['Stout - Foreign', 'Export']",3.432
1338930,"Oak Aged Steel Wheels W/Expreeso,Vanilla, Cocoa Nibs, Cinnamon, and Jalapeno.",1250,8,35,,1,['Stout - Oatmeal'],4.064
403601,Bourbon Barrel Porter (2013),2178,9,0,,1,"['Porter - Imperial', 'Double']",4.181
403603,Knife Party,9912,7,70,Malthouse West Coast IPA 2013,1,['Ipa - American'],4.08
379801,3 Best Friends,1218,7,20,"Coffee, Vanilla, Chocolate. A match made in brewing heaven. Born in Sudwerk’s tasting room, 3BF is an experimental blend of 3 simple ingredients creating a unique burst of mouthwatering flavor. Roasted coffee mixed with sweet cacao nibs and hints of vanilla bean, this brew is your new best friend.",1,['Lager - Dunkel Munich'],3.594
1034107,Single Hop Series No. 5: Centennial,30704,8.7,0,,1,"['Ipa - Imperial', 'Double']",3.887
1347089,Pale Ale Citra,3367,4.8,0,"Now known as Hop & Liefde, except for export purposes.",1,['Pale Ale - International'],3.558
574704,Nosedive,180223,6.75,25,"Dark brown with ruby highlights, Nosedive’s aroma is heavy with notes of vanilla from aging with Madagascar vanilla beans. The use of roasted barley, chocolate and black malts give this brew slight notes of chocolate, coffee and roast. This medium to full body beer features a warming alcohol finish with a medium to low presence of hop bitterness.",1,['Porter - Other'],3.68
114658,Black Rajah,2663,6.8,70,A Black IPA full of tropical fruit players and assertive bitterness and a hint of roasted malt. Featuring Citra hops.,2,"['Ipa - Black', 'Cascadian Dark Ale']",3.905
1345315,Anarchy V,127271,7.7,70,Colorado Strong Ale. Big earthy and piney hops with a bright aroma and a malty backbone.,1,['Strong Ale - American'],3.935
1342625,Salty Seacow,200094,5.6,0,Collaboration with wynwood brewing. Tasty!,1,"['Stout - Milk', 'Sweet']",3.658
306841,Sucaba (2013),524,12.5,42,,1,['Barleywine - American'],4.455
436383,Rheinbacher Premium Pils,24518,4.9,0,,1,['Pilsner - German'],3.19
184553,Trail Angel Weissbier,4939,4.7,0,"Traditional bavarian style wheat beer is a hazy gold in color, with a lively fruity finish that has hints of clove and banana. This is the beer that started the odyssey that led to the creation of Devils Backbone Brewing Company.",1,['Hefeweizen'],3.561
281907,Red Girl,48857,3.9,0,,1,['Ginger Beer'],2.553
1426442,Full On Idiot,214621,5.4,0,,1,['Schwarzbier'],3.776
1060006,Coors Light Citrus Radler,399,4.2,0,Coors light with a blend of natural citrus flavored. ,1,['Radler'],2.971
14346,Welde N°1,3783,4.8,0,,1,['Pilsner - German'],3.349
385763,Scythe Rye IPA,62675,7,65,"An aggressive harvest tool with a dynamic history, the scythe is traditionally used for harvesting crops. But it was adopted by the lower class as an implement of death during times of war and protest. Our Rye IPA also has a dual nature with the nose of your traditional IPA and the incredible malt complexity of your European pale ale.  We use a healthy dose of malted Rye and Belgian Crystal malts while Summit, Chinook and Mosaic hops add that delicious hop flavor and aroma.",1,"['Rye Beer', 'Rye Ipa']",3.877
1405763,Keller Door: Lemon Melon Wit (2016),4254,5.1,18,A traditionally spiced Belgian witbier with a late infusion of macerated watermelon and lemon zest.,1,['Witbier'],3.636
309362,ÖÖ,54434,10.5,60,Translation: Night. An imperial Baltic Porter as dark as the Estonian winter nights. Strong enough to keep you warm through the cold evenings.,3,['Porter - Baltic'],4.002
1409996,Péché Mortel (Barriques De Cognac Et Brandy),1674,9.5,0,,2,"['Stout - American Imperial', 'Double']",4.533
433432,Dublin Raid (Bourbon Barrel Aged),61828,7,0,,1,['Red Ale - Irish'],3.971
187019,Thomas & Kenau,620,10,50,"The base of this beer is Ongelovige Thomas. New American white oak soaked in Kenau has been added, which makes the beer much stronger and gives it a hint of vanilla. Because the wood is soaked in Kenau, the beer is named Jopen Thomas en Kenau.

Full-bodied flavour with vanilla, whiskey, oak, some roasted hints of chocolate and plenty of fruit (blackberries and brambles) because of the American hops varieties. Dominant smooth and fruity flavour the result of the new American white oak.",1,['Belgian Quad'],3.931
219173,Leo's Early Breakfast IPA,5289,6.2,54,"Collaboration entre Anders Kissmeyer et la Brasserie Dunham. IPA relevée de goyave et de thé earl grey de nos amis chez Camellia Sinensis. Bière envoûtante, complexe, à la fois fraîche, amère et fruitée.",1,['Ipa - American'],3.83
1283170,Four Roses BA Rye Stout,44115,11,0,,1,"['Stout - American Imperial', 'Double']",4.549
1086551,Saison N'on N'on,203077,6.5,22,,1,"['Saison', 'Farmhouse Ale']",3.51
1266383,Bridge Builder,41654,5,36,,1,['Pale Ale - American'],3.784
573169,Dunkles Landbier,48348,5.4,0,,1,['Lager - Dunkel Munich'],0
519170,Bim Bam Boom,1139,7.4,36,"With an almost savory nose, this rich dark stout brewed with cocoa nibs, cayenne pepper, and orange is full of surprises. Initial flavors are of sweet citrus followed by a lively tingling of peppery spice. A finish complete with roasted cocoa and tart orange flavors leaves a lasting impression.",1,['Stout - Imperial Oatmeal'],3.502
100178,Squall IPA (2010),459,9,0,,1,"['Ipa - Imperial', 'Double']",4.211
51053,MoonJuice IPA,2512,7.3,70,"An out-of-this-world IPA crafted with Galaxy and Nelson-Sauvin hops that transcends all Earthly pleasures, and emits an aroma carrying loads of citrus and tropical fruit.",1,['Ipa - American'],3.73
177250,Bia Hơi Hà Nội,3043,4.6,0,,1,['Lager - Pale'],2.896
616024,Affligem Cuvée Florem,16791,6.7,0,,1,"['Blonde Ale - Belgian Blonde', 'Golden']",3.391
136000,Simon Girty,21121,8,0,"At its freshest, this complex Belgian brown ale boasts crisp notes of orange peel backed by rich malts and cocoa. Let it age a year or two and see why some beers are totally worth a wait.",1,['Brown Ale - Belgian'],3.607
849208,Horchata Imperial Milk Stout,43025,9,40,"A salute to our south of the border brothers brewing great beer! An imperial stout brewed with vanilla, cinnamon and rice malt with a creamy medium body. It’s a real treat and dessert in a glass! 
Silver Medal – World Beer Championships 2015",1,"['Stout - Milk', 'Sweet']",3.828
1405202,A World Without Dave,30704,5,0,"Now here's the sort of trivia that could feature in a 'craft beer pub quiz': Dave of Kew Brewery used to brew for us here at Weird Beard before setting up his own venture. It's been a long time since Dave left us. Looking back now, it's been a full 18 months that we have gone without Dave. In truth we have had his cheery self drop by for a friendly visit but we hadn't brewed together. As our world carried on without Davy, his world has gone from strength to strength with the opening and success of Kew. We always talked about doing a collab when Kew was up and running. Again, the holiday period offered some free-time and a free fermenter for doing just that. We set a date for the brewday, got a thread going and put our heads together to come up with a recipe. It didn't take long to come up with a no brainer, delicious idea. Kew have won awards for their Chocolate Porter, and us for our Milk Coffee Stout (Black Perle). What we went with was a Mint Chocolate Stout.",1,"['Stout - Milk', 'Sweet']",3.666
1337084,Onda Mosaic IPA,29486,7,0,,2,['Ipa - American'],3.809
1328848,Tourtel Birra Analcolica Naturale,1921,0.5,0,,1,['Lager - Euro'],1.509
1384354,Polish Champagne,16019,4.2,0,Traditional grodziskie-style beer - Poland's national beer style - made with oak-smoked wheat malt and Polish Perle hops.,1,"['Gr\xc4\x82\xc2\xa4Tzer', 'Grodziskie']",3.684
1169867,Gertrude Blonde,432,5.7,330,,1,"['Blonde Ale - Belgian Blonde', 'Golden']",0
652362,India Red Rye Ale,111440,6,0,,1,"['Rye Beer', 'Rye Ipa']",3.78
673549,Medora,37851,6.6,0,"Medora is a blonde sour ale aged in red wine barrels with one pound of blackberries and raspberries per gallon. The result is a beautiful, fuchsia ale with bright berry character.

The daughter of a king, Medora was wrought with the burden of expectations. Her father did his utmost to speak confidence into his young daughter. Time passed and with it the king, leaving Medora his sole heir. Her melancholy deepened. One night a great meteor flashed across the northern sky. Her father's words lit into her heart: ""Choose happiness; no expectation of circumstance can usurp your will to rejoice in them.""

Medora thrived, and as for imposed expectations; she never gave them credence again.",1,['American Wild Ale'],4.201
1072422,Spontandryhop Simcoe,2813,5.5,0,,1,['Sour Ale'],3.887
1310990,Slope Style (2015),160,6.4,60,,1,['Ipa - American'],3.384
970416,1436,160881,4.8,0,,1,['Pilsner - Other'],3.269
338607,Drew Curtis/Wil Wheaton/Greg Koch Stone Farking Wheaton w00tstout,1204,13,65,Drew Curtis/Wil Wheaton/Stone Farking Wheaton w00tstout part bbl-aged w/rye & wheat malt & pecans!,1,"['Stout - American Imperial', 'Double']",4.139
586774,Sessions: Cloud 9 Wit,2241,4.6,0,"Cloud 9 Wit 4,6% Wit Brewed w/Mango – Fruity & Flowerful. (Amarillo, Tettnanger & Mosaic)
A Bright and Smooth Wit, Perfect for a day in the sun.",1,['Witbier'],3.465
265179,Ume Umai,24229,7.5,0,Black rice and plum beer #31,1,['Fruit Beer'],3.573
941374,Blackberry Barleywine (Lips of Faith),905,10,50,,1,['Barleywine - American'],3.726
668803,Diamond Down Lager,3208,5,25,,1,['Lager - Pale'],3.235
29279,Tiny,1352,11.8,0,"Tiny is a Belgian inspired Imperial Stout weighing in at 11.8% abv.  You'll find big chocolate and roasted notes, balanced with the Belgian flavors from the Abbey yeast strain.  This beer is very smooth and lacks the astringency you sometimes find in these big Imperial Stouts.",1,"['Stout - American Imperial', 'Double']",3.882
13529,Lolita,2898,7.8,32,"Lolita is a pink rose colored Belgian style pale ale fermented with wild yeast and aged on raspberries in wine barrels. Aromas of fresh raspberries, bright jammy fruit flavors and crisp, refreshing body make Lolita ideal for beer drinkers fond of Belgian Framboise.",2,['American Wild Ale'],3.93
1392076,Sött Men Inte Rött,23916,11,0,Traditional wildflower mead aged on bourbon barrels that previously held Rött men inte Sött,1,['Mead'],4.063
939366,Black Sheep Cream Ale,153485,0,0,,1,['Cream Ale'],3.385
198232,White Chocolate,1246,16.6,0,"The primary component of our “White Oak” ale is a 100% barrel aged wheat wine that we affectionately refer to as “White Oak Sap.” Essentially a “summer” barley-wine style ale, but made with a wheat heavy grain base, White Oak Sap is aged in used bourbon barrels for nearly a year and comes out rich in flavors of coconut, honey, caramel and vanilla. To compliment the already rich flavors of the beer, we’ve added cacao nibs and vanilla beans to give this beer the delicate flavor of white chocolate…hence the name. ",1,['Wheat Wine'],4.144
1036279,The Cut: Balaton Cherry,127424,5,12, ,1,['American Wild Ale'],4.637
1434020,Unchained #21: Us & Them: 1st Thread: IPA,2396,7.2,90,,1,['Ipa - American'],3.813
18598,Single-Wide I.P.A.,1514,5.7,57,"Boulevard Single-Wide I.P.A. is our take on a style that originated in 18th century Great Britain. This American version—inspired by our Smokestack Series Double-Wide I.P.A.—boasts a heady combination of six varieties of hops, some of which were employed for dry-hopping.",1,['Ipa - American'],3.568
78437,Pumpkin Lager,3400,0,0,,1,"['Pumpkin', 'Yam Beer']",3.317
1401862,The Other IPA,192673,6,70,,1,['Ipa - American'],4.072
968375,Trident Triple IPA,4117,10.8,90,"We crammed, jammed, and slammed a full on hop assault into this highly formidable brew. Seven different hop varieties in the whirlpool, and two separate dry hopping stages in the fermenter, creating one massive monster mamma jam of a beer!",1,['Ipa - Triple'],3.979
1387819,Blueberry Maple Stout,3582,6,0,,1,"['Stout - Milk', 'Sweet']",3.772
859709,No Waves,119317,4.2,20,"Dark chocolate, toffee, and bready malt in a sessionable dark Mild?  You can drink all day and still go surfing.",1,['English Mild Ale'],3.532
1183426,Cuvée des Pères,16791,0,0,"Double fermentation - smooth and rounded, light peppery freshness, with aromatic hops and dry grassy bitterness.",1,['Belgian Strong Pale Ale'],3.75
9544,Farmer Ted's Cream Ale,3082,5.6,0,"This beer is an indigenous American beer style created as an answer to post-prohibition German lagers.  We pay tribute to the beers made on early, rustic systems by using natural ingredients like corn and barley to create a smooth and full-bodied, straw-colored ale.  Reward yourself with a Farmer Ted’s after a long day plowing the fields, or just after mowing the lawn!",1,['Cream Ale'],3.435
1248805,Skulls & Tentacles,3367,11.5,36,,1,['Barleywine - American'],3.856
1251897,Pirouette,79317,4,0,,1,['Sour Ale'],4.103
325854,Thunderstruck,5438,8.2,0,Uma DoppelKölsch com dry hopping,1,['K\xc3\xb6Lsch'],3.65
1011970,Skittles Berliner Weisse,379,0,0,,1,['Berliner Weisse'],4.292
1284521,Rickard's Red IPA,878,5.7,40,,1,['Ipa - English'],3.318
1412604,Be Strong,192303,9.8,25,,1,['Belgian Strong Pale Ale'],0
1101905,Faddersbøl,2652,5.8,0,,1,"['Herbed', 'Spiced Beer']",2.714
445874,LaGrave,2583,8,31,"Named after our fave French backcountry ski town, LaGrave’s rare yeast produces a rocky head releasing aromas of crusty bread and earthy spices. Our Triple Golden Ale carves out flavors of ripe pear, straw and black pepper with a dry, champagne powder finish.",1,['Belgian Tripel'],3.804
115117,Brussels Calling,176,6,0,,1,['Pale Ale - Belgian'],3.634
1412605,Pirske,183580,6.9,0,,1,['Pale Ale - Belgian'],3.437
763047,Humulupucienne,16775,5,24,,1,['Pale Ale - American'],3.548
1392326,Rise and Grind,823,10.3,0,"We love coffee. We love chocolate. We love local. That is why we used locally sourced, decadent cacao nibs and fresh, locally roasted coffee in Rise & Grind, our Imperial Brunch Stout. Copious amounts of flaked oats contribute a luscious mouth feel while the 100% organic cold-pressed Arabican coffee from Philly Fair Trade Roasters manifests the passion of a quality bean with a commitment to sustainability.",1,"['Stout - American Imperial', 'Double']",3.924
940162,Pink Balloons,13146,4,0,Raspberry lemon Berliner weisse.,1,['Berliner Weisse'],4.193
1048830,Galaxy & Amarillo Double IPA,95242,8.5,100,,1,"['Ipa - Imperial', 'Double']",4.062
134507,Heller Bock,18541,6.8,0,,1,['Bock'],3.211
677439,McEwan's IPA,1348,4.3,25,"McEwan’s IPA can trace its heritage back to the 1860s ale that was made for the 18,000 mile journey to India. After being unpacked it was dispatched inland to provide relief for workers toiling beneath the unforgiving sub-continental sun. It tasted so good it’s a wonder each barrel reached its destination.

Over 150 years later, our expert brewers have been inspired to produce a classic full-bodied, hoppy ale that delivers a citrus fruit aroma and a dry, refreshing finish. It’s a taste that will stand the test of time.",1,['Ipa - English'],2.825
56578,Maple Amber,8796,5,36,This malt forward amber ale is lightly hopped and easy drinking. Sweeter than most amber ales due to the addition of Columbia County maple syrup.,1,"['Red Ale - American Amber', 'Red']",3.509
1263400,Incorangeible,37851,7.5,90,"Lack of reform is responsible for some of our most memorable brews. Featuring bright aromas or orange zest, round notes of chocolate, and juicy flavors or citrus hop notes, Incorangeible is a non-conformist’s IPA. Hold your ground and raise your glass to the unapologetic.",1,['Ipa - American'],3.79
1352490,Cole Chamber,205909,6.5,44,"Cole Chamber is dark and roasty, slightly sweet and subtly smokey. Full bodied, creamy and smooth. Brewed with locally sourced, hickory smoked two row malt, Cole Chamber pays tribute to the Broadway legendary composer Cole Porter. ",1,['Smoked Beer'],3.845
402014,Blonde,71596,6.2,29,"Very tasty, soft bitterness And easy to drink. Sweetness due to belgian malt.",1,"['Blonde Ale - Belgian Blonde', 'Golden']",3.37
1114222,Akagi Sanroku Maibock Helles,198688,5,0,,1,"['Maibock', 'Helles Bock']",0
371,Watou Tripel,296,7.5,0,The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste.,1,['Belgian Tripel'],3.706
1412700,Bow Tie,1865,4.6,24,,1,['English Mild Ale'],3.642
1321271,Roosevelt's Last Drop,113967,5.8,0,,1,['Stout - American'],3.744
378,Young's Special London Ale,1348,6.4,0,"Young’s Special London Ale is an award winning bottle conditioned beer. It is an unpasteurised, living beer, matured in the bottle for a fuller, more complex, multi-dimensional, fresher taste. Without artificial carbonation, the only fizz is the natural effervescence created by fermentation.

It has been described as a “truly great example of a bottle-conditioned ale” by beer writer Jeff Evans and Oz Clarke describe the flavour of Special London Ale, ""...like making love in a hop garden. ""

It is a 100% malt brew combining Maris Otter and Crystal malt with Fuggle and Golding hops. Golding and Target hops are added after fermentation, which creates an exciting fresh and hoppy bouquet. Fresh yeast and wort are added at bottling to continue the maturation as a ‘live’, bottle-conditioned ale. ",1,['Strong Ale - English'],3.554
5646,Gouden Carolus Hopsinjoor,284,8,50,"Gouden Carolus Hopsinjoor completes the taste pallet of our Carolus beers. “Hopsinjoor” derived from “Opsinjoor”, the typical character of Mechelen and also because of the use of 5 different kinds of hops. These hops are fractioned at a different time during the cooking process in order to conserve a maximum of aroma. 

Concerning the taste, the Ale has a gentle taste with a slightly bitter finish. Gouden Carolus Hopsinjoor was launched in 2008 on the Zythos Beer Festival and hit the mark: the visitors elected it as best beer, bringing Het Anker “The Consumer’s trophy Zythos Beer Festival 2008”. 

The beer is bottled unfiltered in order to preserve the bitterness of the hop as much as possible.",2,['Ipa - Belgian'],3.677
1425421,Nelson DIPA,218839,9.5,0,This is the strong partigyle from Upstairs Downstairs; light in colour but thick and fairly sweet with a grapey/melony character from the Nelson Sauvin hops.,1,"['Ipa - Imperial', 'Double']",3.884
1170689,Southern Passion,16909,6,54,American IPA brewed with South African hops and passionfruit,1,['Ipa - American'],3.69
1348176,Barrel Roll No.03 PUG-NOG,3287,12.7,0,Russian Imperial Stout aged in Bourbon barrels with vanilla bean and nutmeg. ,1,['Stout - Russian Imperial'],4.172
911933,Direktörens Ale,118601,4.3,0,,1,['English Bitter'],3.086
407349,CA Dry-Hop Lager,1218,5,28,West Coast aroma hops and German bittering hops; a refreshing twist on a helles style lager.,1,['Lager - Helles'],3.545
19278,Blue Buck,1472,5,0,"The Blue Buck is a legendary beast known to grant those that see him good fortune and safe travels! A deep amber coloured beer, the Blue Buck has a crisp finish featuring a delicate hop aroma. Certainly seeing the Blue Buck on bottle grants the drinker a great experience! Worth searching for.",1,['Pale Ale - English'],3.507
4669,Chateau Jiahu,459,10,10,"9000 year old Chateau Jiahu stands apart as the most ancient, chemically-attested alcoholic beverage in the world. Its recreation is based on painstaking excavation by Chinese archaeologists of Jiahuin the Yellow River basin, state-of-the-art microanalysis of pottery residues by American laboratories, and the inspired \Neolithic\"" brewing of Dogfish Head Craft Brewery. Chateau Jiahu",1,"['Herbed', 'Spiced Beer']",3.675
5101,Wells Bombardier,1348,4.1,35,"UK ABVs: Cask 4.1%, Can 4.3%, Bottle 4.7%.
Export ABVs: Bottle 5.2%, Draught 5.5%.",2,['English Bitter'],3.448
5106,Harpoon Celtic Red,634,5.4,26,"Having brewed in South Boston since 1987, it was probably only a matter of time before we decided to commemorate St. Patrick’s Day (Evacuation Day - coincidentally a holiday - in Boston).  It’s a beer that we thought would pair well with the late winter as well: malty enough to stand up to the cold but balanced enough to hint at Spring. 

Harpoon Celtic Ale features a deep ruby color, medium body, and a balanced malt bill created by Irish Ale malt and a touch of roasted barley. Rich in tradition and sessionable in character, Harpoon Celtic is the ideal Spring seasonal.  ",2,['Red Ale - Irish'],3.385
708674,Nutmeg,75584,13,14,,1,['Mead'],4.187
876690,Sorachi Sess,2206,4.5,0,"A pale refreshing country ale,brewed with aromatic hops from Japan ie. Sorachi Ace. ",1,"['Saison', 'Farmhouse Ale']",3.457
1250079,Beagle Blonde,3213,4.1,150,,1,['Blonde Ale'],3.469
1458721,Cozz'amara,29849,4.3,0,,1,['Lager - Dark'],0
1188438,Samuel Adams Rebel Raw,157,10,100,"A big, beautiful IPA with a resinous, piney punch. Bright aroma, with bold grapefruit and pine notes from intense dry hopping.",1,"['Ipa - Imperial', 'Double']",3.814
201769,Limeburner,34471,4.7,0,"Limeburner is light, crisp and refreshing, like a summer’s evening with a hoppy accent at the end.
Alc. 4.7% vol.",1,['Pale Ale - English'],3.338
99943,Kalasjulöl,2709,5.2,0,,1,['Lager - Winter'],3.145
1372651,Konundrum,85169,4.6,0,"Tart pale ale featuring bright citrus notes that play out on a malty backbone and finish dry.  Centennial, Jarrylo and Citra hops.",1,['Other'],3.899
947459,030 Pale Ale,9915,5,30,,1,['Pale Ale - American'],3.317
1404923,Space Beer,124008,6.5,60,,1,"['Ipa - Black', 'Cascadian Dark Ale']",0
1027273,Bright Light,174938,8,80,,1,"['Ipa - Imperial', 'Double']",4.024
1352674,I Have Been Dubbel Crossed,108192,6.5,0,"Vuoden 2015 belgi –sarjan kolmas olut tuo loppusyksyyn tummien- ja erikoismaltaiden kuivien hedelmien aromeita. Istuu hyvin pimeiden iltojen lämmittäjäksi.

Maltaat : Pilsner, Cara, Munich, Crystal, Special B ja Candy sokeri

Humalat : EKG, Saaz",1,['Belgian Dubbel'],3.057
185190,Imperial IPA,1635,9.3,0,,1,"['Ipa - Imperial', 'Double']",3.619
6504,Long Hammer IPA,1051,6.2,44,Long Hammer takes the traditional IPA brewing process one step further by dry hopping with Cascade hops to give a wonderful hop aroma but not the overpowering hop taste.,4,['Ipa - American'],3.446
1271149,Blackout Stout (2015),3125,9,50,,1,['Stout - Russian Imperial'],4.083
472454,Zwaar Blond,2053,8.5,36,"BRAND ZWAAR BLOND
Krachtig en fruitig karakter met een uitbundig hoparoma
Brand Zwaar Blond is een bovengistend bier. In tegenstelling tot veel Blonde bieren, kenmerkt de smaak van dit bier zich juist door de aroma's van de 5 verschillende soorten hop. De gekozen gist geeft het bier de juiste fruitigheid en soepelheid mee. De combinatie van tarwemout, gerstemout en caramout geven dit bier zijn zware karakter.

DE SMAAK VAN ZWAAR BLOND
Brand Zwaar Blond is gebrouwen naar het recept van hobbybrouwer Jacques Bertens, die met zijn Zwaar Blond de Brand Bierbrouwwedstrijd 2013 won. Zwaar Blond komt het best tot zijn recht in een zogenaamd kelkglas. De grote opening van het glas zorgt ervoor dat de aroma’s goed vrijkomen waardoor je optimaal kunt genieten van de smaak van dit bier.",2,"['Blonde Ale - Belgian Blonde', 'Golden']",3.617
282644,Ninkasi,41559,9,0,"Bubbles + Apples + Wild Yeast photo (16) Named after the ancient Greek goddess of beer, this is an equally divine Belgian-style saison with a copious amount of New Zealand hops, freshly harvested Somerset apple juice and wild yeast added to the mix. However, we like to take things just that bit further (it’s the Wild way!) — once bottled the beer undergoes a secondary fermentation with champagne yeast, giving it a brisk spritziness on the tongue. Serve chilled in a champagne flute to allow the bouquet of playfully aromatic notes to be fully appreciated. Take a sip to enjoy a further cascade of striking and sensuous flavours alongside the carefree champagne-like spritziness. The long, dry finish is both refreshing and complex.",1,"['Saison', 'Farmhouse Ale']",3.676
1419290,Sexy Weekend,95183,3.5,0,American table beer,1,['Pale Ale - American'],3.462
45282,Nikolai Vorlauf Russian Imperial Stout,3741,10.5,45,,1,['Stout - Russian Imperial'],3.997
1023974,Sriracha Pale Ale,540,5.5,0,Chili Beer,1,['Chili Beer'],3.355
