UID,User_Name,Location,Number of Ratings,Mean Rating
134824,loustruble,"Philadelphia,Pa",0,nan
110493,,Stockholm,50,3.605
2217796,tammyparksnc,"High Point, NC",0,nan
1980248,,Levanger,50,3.4249999999999998
1805466,dannofett,Palm Harbor,0,nan
3033869,,"Wilmington, NC",34,3.8382352941176472
1524831,,"Ohio, USA",50,3.0950000000000002
893099,Alanthebeerguy,"Port Moody, BC",0,nan
1801129,kingtheseus,Calgary,0,nan
169558,,Ohio,50,3.9300000000000002
376734,PeculiarSylph,"Richmond, VA",0,nan
2644883,Sindelarr,Paris,0,nan
3123141,Lorijg,Chicago,0,nan
2787163,,Leeds,50,3.4849999999999999
135948,,Australia ,50,3.23
2328024,Mahou89,EspaĂąa,0,nan
287084,,Joe and Lindsey's House ,0,nan
3118805,,Helsinki,11,3.5227272727272729
65911,RossBox,New Hampshire,0,nan
1859042,,Montréal,49,3.7704081632653059
10005,,Northants,50,3.3849999999999998
1158953,cameronsandiego,georgia,0,nan
425062,,Casa Awesome,50,2.9550000000000001
1181159,,Beer City USA,50,4.2649999999999997
704357,,Örebro,50,2.5550000000000002
1363776,,Guarapuava - Pr,49,3.943877551020408
45862,,"Shakopee, MN",47,4.1914893617021276
2316994,,Tewkesbury,50,3.8849999999999998
95790,,"Warwickshire, UK",50,3.71
120858,ewrzesinski,"Frederick, MD",0,nan
227873,b-foster,Santa Cruz Mtns.,0,nan
212533,,Malmö,49,3.9030612244897958
2146753,,Tallinn,50,3.7799999999999998
2254948,Shelbycobra,Rancho Cucamonga,0,nan
2732584,WesternOmelet,"Midland, MI",0,nan
1153533,L_fernando2,São Paulo,0,nan
140663,mfpedro,Valinhos - Brazil,0,nan
2412298,TOC,Norther Illinois,0,nan
507226,krazedpgt,"Chicago, IL",0,nan
294522,Fnyslund,Göteborg,0,nan
47329,,"Livonia, MI",50,4.9900000000000002
3037383,Eugene_Acid,Saint-Petesburg ,0,nan
2056927,Stenrudn,Bergen,0,nan
1687195,,Somewhere in indonasia ,50,3.23
942367,EatsHopsAndLifeBC,NJ / Philly,0,nan
2598181,rambi99,weert,0,nan
257906,,"San Jose, CA",50,3.6499999999999999
1365512,,"Hangzhou, China",50,2.6499999999999999
1715586,,"Haarlem, NL",50,3.855
228512,venturah,Virginia Beach VA,0,nan
2755974,Rastabean71,Colorado,0,nan
950538,,"Roc, NY",47,3.5372340425531914
636472,,Your mom's house,50,4.3150000000000004
241357,jasrags,"Allen, TX",0,nan
108107,,Canada,50,3.4049999999999998
648009,penf0ld,The Shire,0,nan
2794035,,Scunthorpe ,50,3.7200000000000002
2092993,,Dorking,50,3.6749999999999998
2855745,,Hollandscheveld,46,3.5815217391304346
2192713,,"Rochester, NY",50,2.9199999999999999
1309064,,västerås,50,3.2599999999999998
1705323,neongolden,Linköping,0,nan
91806,,Sweden.,50,3.625
2187254,,Nuremberg,50,4.0499999999999998
454814,,Turnpike House,50,3.6400000000000001
2763254,,"Troy, Ohio",50,3.5600000000000001
1213160,,"westerville, oh",50,3.855
448661,jrsalmon1,"Bothell, WA",0,nan
182096,,"Lancaster, PA",49,3.9234693877551021
647310,,Rio de Janeiro,50,3.4350000000000001
2117213,Fishnfi,Aberdeen,0,nan
1964790,,"Sacramento, CA",49,4.1887755102040813
2345137,rjwalker,"Saint Germain en Laye, FR",0,nan
1041458,,"Burlington, VT",48,4.171875
2302260,,Bristol,50,3.8500000000000001
2913604,Lotharvh,Rotterdam,0,nan
193903,Robcheese,"Lemon Grove, California",0,nan
914614,fastwindy,North West England,0,nan
474427,Diesehrl,"Brooklyn, NY",0,nan
881992,beckyhurst,Manchester,0,nan
2034712,wsteegmans,Planet Earth,0,nan
2524174,GusaPer,Sandhem,0,nan
94621,tadahster,bierversuche.ch - Switzerland,0,nan
1646280,ItsRen,"Saint Petersburg, Florida",0,nan
1372194,JeffParrotte,"Hoboken, NJ",0,nan
1729565,TJW1971,Atlanta,0,nan
401122,foxxtail,Cleveland,0,nan
1217729,Larise,Malmö,0,nan
202549,statticus19,"Lexington, KY",0,nan
2352144,thedog75,BrisVegas,0,nan
3114473,schleich,Bavaria,0,nan
20958,muldydoona,Sale,0,nan
2649487,Jeff-Bxl,Brussels,0,nan
1888398,jeffraddatz,"Decorah, IA",0,nan
798727,Razorelli,Pittsburgh,0,nan
1131559,ChickBeerIsForBitches,"Washington, DC",0,nan
1879018,johnnyreedjr,Tinley Park,0,nan
662738,bombznin,Madison WI,0,nan
1717580,Rabarca,"San Vicente de Tagua Tagua, sexta región, Chile",0,nan
1502347,Willster78,Bakersfield Ca,0,nan
688537,Daynite,Usually somewhere in Minnesota,0,nan
1824123,cam5fc,Orient,0,nan
2347794,Dennis67,Leeuwarden,0,nan
510499,svanem,Oslo,0,nan
266717,LCJensen,Portlandia,0,nan
218899,Cuffy,currently living in Sunnyvale CA,0,nan
2783105,salbrecht,Texas,0,nan
1383440,Tailz,Edmonton ,0,nan
2943760,,Groningen,50,2.9100000000000001
1508516,Dazman,Earth,0,nan
1101744,meagsmom,Mechanicsburg PA ,0,nan
1508517,WavyGravy1,The Mitten,0,nan
1431061,CoreyDanielJ,Winston-Salem,0,nan
285027,tehfuzz,Minneapolis Minnesota,0,nan
1685962,zipass,"Tucson, Arizona",0,nan
1053567,rabski,Dumbarton ,0,nan
1203726,Lowen77,Strängnäs/Sweden,0,nan
30943,EG-6,"Chigasaki, Japan",0,nan
1741899,Chestnut42,Bologna,0,nan
1675369,MsLThomps,Philadelphia,0,nan
161529,TTUBOB87,Dallas,0,nan
556296,Spytman,Denmark,0,nan
839685,jasonvolante,detroit,0,nan
675931,jcsoc,"Boulder, CO ",0,nan
1013085,JiffysBrewery,"Gothenburg, Sweden",0,nan
1346135,etreanor,"Ann Arbor, MI",0,nan
1558789,bt9187,Florida,0,nan
2666929,Giocodias,Reykjavik ,0,nan
1050467,Turkish,Cov,0,nan
259496,beefcake67226,"Wichita, KS",0,nan
1452726,JimTimer,Flourtown,0,nan
975673,johncrowther,Vale of Pewter,0,nan
1674357,kama_kaks,Tallinn,0,nan
9217,schoolcb,MidCities,0,nan
600280,KathK,Sydney,0,nan
1660987,LuvCheapBeer,Birdsong Brew House,0,nan
580010,jadelele,"Grand Rapids, MI",0,nan
905401,scottspencer,"Pontefract, West Yorkshire",0,nan
2491776,yovnor,Leiden,0,nan
749034,smoyles,"Frisco, TX",0,nan
683357,evilgobi,Ontario,0,nan
554762,markyg24,Sunderland,0,nan
3118539,ajshepherd,Croydon,0,nan
745668,titas,Minsk,0,nan
642338,naddz,White Rose County,0,nan
2698204,RacinJason88,"Round Hill, VA",0,nan
144522,tdexhunter,Barcelona,0,nan
299516,jantila,Stockholm,0,nan
1204222,neilywonka,ok,0,nan
309333,soonerndn,T-town,0,nan
1371663,Artful,"Tunhøgda, Trondheim",0,nan
2581693,,Lexington,47,3.7978723404255321
43162,stl05,"Gaithersburg, MD",0,nan
2637000,BarbKel,Knipe Fold,0,nan
201549,minofra,Italy,0,nan
260560,Stukazz,La Habra,0,nan
2631647,OLIVIOUS,"Chapel Hill, NC",0,nan
340237,GETdownSOULS,"Philadelphia, Pa",0,nan
2449209,Mikelikesbeerblog,"Akron, Ohio ",0,nan
43065,wharle,"Quakertown, PA",0,nan
1281702,EnnP,Tallinn,0,nan
806279,theDionysus,floating about the TX panhandle,0,nan
766231,riobarlow,London,0,nan
491482,,"Waterford, Ct",50,4.125
943944,DougMichele,West Virginia,0,nan
1155161,PurdueJRA,"Indianapolis, IN",0,nan
2068583,o2bretired,just south of heaven,0,nan
2012238,matthewjpatterson52,"Cincinnati, OH ",0,nan
548632,Jamieodom,"Mesa, AZ",0,nan
721644,nitrogun,Assen,0,nan
2808311,Jblocksidge,Blockhead Brewing ,0,nan
791402,eskay,Sippin' booze is precedent as the evening starts to glow.,0,nan
605586,grucka,Gothenburg,0,nan
1450399,Haakkimannen,Bergen,0,nan
1357203,jejokinen,Jyväskylä,0,nan
1067987,isawacoyote,LA,0,nan
804242,Baitulos,Nieuwegein,0,nan
578080,Julez24,CT,0,nan
1756057,BiancaH,Amsterdam,0,nan
34233,bob3701,"Monmouth Junction, NJ",0,nan
821789,MrsIntolerance,Pennsylvania,0,nan
2037804,TornadoR32,"Roscoe, il",0,nan
182564,MattyNewman,"Carlisle, pa",0,nan
651754,Marty_D,Boston,0,nan
2108,nickmcc,South Carolina,0,nan
1674298,zeebonkey,Eindhoven,0,nan
1993628,guillaumepaccaud,Lyon ,0,nan
458276,Juiceofthebarley,Texan living in Alabama,0,nan
2656174,RadBrains,Knoxville,0,nan
1431471,Rockenrollmatte,Bärsendals place,0,nan
386077,Maxknut,"Brooklyn, NY",0,nan
536430,a_lost_irishman,London,0,nan
308257,florianweigl,Amsterdam,0,nan
254422,Alesan,Carpi,0,nan
642439,Fieldchicken,Eerbeek,0,nan
377754,Ohheyynikki,Charlotte ,0,nan
194386,Nachio,Tokyo,0,nan
1564995,Holmis_GBG,Göteborg,0,nan
2175624,jfkjr64,Tampa bay,0,nan
18796,willy1459,"Carrollton, GA",0,nan
208039,smackrull,"Plymouth, England ",0,nan
2412174,Grateful_Marley,Hopside of the Bottle,0,nan
140879,,"West Roxbury, MA",48,2.1302083333333335
631502,Duckdeath,NJ,0,nan
683396,Abracadaver,Florida,0,nan
2392957,Aerozep,"Wantagh,  NY 11793 ",0,nan
742314,BeerNut2,Yorkshire,0,nan
151980,StevenCJ24,"Indianapolis, IN",0,nan
2204426,Jake1784,"Winston-Salem, NC",0,nan
2919367,Flepper,VOORBURG,0,nan
32711,chada20,Funkytown,0,nan
953004,aquaokay,"New York, NY ",0,nan
1823567,BruceWayneSpringsteen,Wishes he was still in New Jersey,0,nan
185728,jbuddle,Brooklyn,0,nan
52411,duede,Kansas City,0,nan
61465,natethephenom,"Philadelphia, PA",0,nan
52414,Scot_Poland,Oklahoma,0,nan
2789701,Mezzanine82,Amersfoort,0,nan
44144,streetstripsaltspeed,Wollongong,0,nan
1761662,ErikWB,Gothenburg,0,nan
1247114,EvenKristiansen,"2020 Skedsmokorset, Norway",0,nan
87487,medrinky-melikey,cleveland,0,nan
2923780,IBU,"Island City, Oregon",0,nan
1158171,,"Reston, VA",50,3.9100000000000001
120053,Hardini007,"San Diego, CA",0,nan
242076,Pyrmir,Uppsala,0,nan
186021,slowaudia4,Klaus Hausbrauerei,0,nan
339365,fotscha3627,menomonie wi,0,nan
70198,mariomenti,London,0,nan
677256,Bookman1216,"Alexandria, VA",0,nan
2468224,BuschFan,IL,0,nan
1421,beermepodcast,"Palm Desert, CA ",0,nan
343468,Ostrunio,Warsaw,0,nan
1884283,JimmyNeeson,"State College, PA",0,nan
1123740,HolyBartman,Dayton,0,nan
1943018,Drew442,The Casbah,0,nan
4397,sufw,Melbourne,0,nan
1027335,JSpitshuis,"Tilburg, Nederland ",0,nan
2078831,jenniescarpato,"Barrington, NJ",0,nan
2978739,Ryzahamm,Michigan,0,nan
19064,sam_miguel,"Melbourne, Australia",0,nan
777557,Mike_Ververs,Eindhoven,0,nan
532507,Middo,"Swindon, UK",0,nan
617790,ArAitch,Nottingham,0,nan
17393,leafandyeast,Champion's Center,0,nan
88899,gDubs,NJ,0,nan
178784,DBMeehan,Home,0,nan
27509,,NY,49,3.954081632653061
112754,SeaSick,"Studio City, CA",0,nan
27506,Teri,Las Vegas,0,nan
170362,jweymouth,St. Louis,0,nan
1491188,Junior_8383,Spring Lake,0,nan
1049652,GREENRIVER,"Tokyo,Japan",0,nan
457120,JeffreyN,"Orlando, FL",0,nan
1497774,NickyCNJ,New Jersey,0,nan
1021209,ozorkowy,Warsaw,0,nan
651185,mikelstarr,Bay Area,0,nan
2018597,geofftoomey,"Rochester, NY",0,nan
2418883,chrislong290,coventry,0,nan
1895372,DaTad,Lapeer,0,nan
812751,BigJake21782,"Canonsburg, PA",0,nan
122211,ayoussefi,"Houston, TX",0,nan
440936,c_krz,bergen,0,nan
2824861,EventinYS,Kemerovo,0,nan
1496055,thomas_katt,Alta Rock City,0,nan
827797,bfidelin,paris,0,nan
2699666,Wnaville, Illinois ,0,nan
2515800,gemmades,Manchester ,0,nan
403595,lynnchros,"Centerville, OH",0,nan
16341,deejaysa,"Cedar Rapids, IA",0,nan
323859,Hanneton,Brasília-DF,0,nan
329285,Balickic,"Plymouth Meeting, PA",0,nan
380443,rbadilo,"Orlando, Fl.",0,nan
819494,okwathne,Kopervik,0,nan
465709,,11720,50,3.2050000000000001
1565862,Accoleia,"Sabelgränden, Lund",0,nan
1212724,Jered87,Right behind you,0,nan
1417896,Mattsnap79,Brewsville,0,nan
8052,mw1414,Fairlight,0,nan
476429,gregjobes,"Orlando, Florida",0,nan
1294558,RobLansdown,Bristol,0,nan
854325,csmartin6,New York,0,nan
628120,PeterMcDermott,"Kenosha,  WI",0,nan
58523,,Dallas,0,nan
3116319,Hasamasa,Jyväskylä ,0,nan
104258,simscass,"Bryn Mawr, PA",0,nan
1476501,essenn,Melbourne,0,nan
795053,Montague,Philadelphia ,0,nan
625318,Cdeller9,"York, PA ",0,nan
76071,ryanfromohio,Clintonville,0,nan
2735442,TheRealCount,NJ,0,nan
1117027,davidhydeuk,Southsea,0,nan
96176,dirkyou,"Tokyo.,Japan",0,nan
2748448,RoyTob,NorCal,0,nan
1718307,Rar4422,Hampton Roads,0,nan
265840,Cowlay,Back porch,0,nan
270623,aoe,Tokyo,0,nan
473425,anteater16,"Eureka, CA",0,nan
2896863,Vintage_SG,"Yateley, Hampshire ",0,nan
995792,johnthehammero,"River Falls, WI",0,nan
34788,jayro684,"Pittsburgh, PA",0,nan
2632901,Rantaholic,"Dunedin, FL",0,nan
2959298,Norheim,Kvernhusvegen 17,0,nan
91356,alankiddle,London,0,nan
724649,driver8rws,Oktoberfest Springboro,0,nan
2008268,Flashproudy,Stoke-on-Trent,0,nan
882211,jasonmlee88,New York City,0,nan
134947,Stevie_P,"Grapevine, TX",0,nan
1897951,Orcus_Orcinus,"Lviv, Ukraine",0,nan
455997,jay4423,Crofton MD,0,nan
42066,robsmithiii,Virginia,0,nan
1600697,Teun666,Heusden Limburg ,0,nan
255662,nystromjeff,Maryland ,0,nan
1029581,pudgydevil,"Denver, CO",0,nan
471597,OddComplex,Connecticut,0,nan
1053507,charliebalck,"Prague, Czech Republic",0,nan
25116,belmagnus,Helsingborg,0,nan
1065786,TheJB,"Tampa, FL",0,nan
866669,howaito,Scotland,0,nan
1356786,ChrisT138,"Schaumburg, Illinois",0,nan
863143,raydunseith,"Marlborough, MA",0,nan
3111990,nprejean,Broomfield,0,nan
3157740,Suzee_B,Ann Arbor,0,nan
464351,Meippers,Tokyo,0,nan
2653830,formeg,Terracina,0,nan
90900,jennkeizerroth,"Malden, MA",0,nan
2929291,keiswiss,Pub,0,nan
2815436,Leonid_Shevelev,Chelyabinsk,0,nan
121806,Jrlvr,KS,0,nan
2486446,hmg_57,St-Jean-sur-Richelieu,0,nan
651880,Win555,Rotterdam,0,nan
1092160,FablesOfTheHans,Stockholm,0,nan
1695815,NickelsBar,"Byron Center, Michigan",0,nan
667002,marsav,"Vilnius, Vilniaus Apskritis, Lithuania",0,nan
2140621,ClarkPacBeer,"Morristown, NJ",0,nan
1106290,LeftofCenter,"Clearwater, FL",0,nan
1025477,,"Kilo, Espoo",50,2.915
1111318,GeoMal,"Northfield, OH",0,nan
81880,Dolphenski,"Charlotte, NC",0,nan
3095277,Craiggers1982,Connecticut,0,nan
94787,Benjiehorn,Chicago,0,nan
38956,annahard,Out and about. ,0,nan
1047261,Castagna,Hallstahammar,0,nan
2748223,Bristolbob,Bobs garage,0,nan
2793990,CricketBrewing,"Portsmouth, Va",0,nan
1432792,bms53,North/Central New Jersey,0,nan
1653210,R40doh,The Trappissed Monk,0,nan
289979,rylock,Long Island New York,0,nan
1718057,kburton24,"Indianapolis, IN",0,nan
2977863,fishms,donnybrook,0,nan
773822,shenoceara,"campinas, sp, brasil",0,nan
288742,jondica,Hong Kong,0,nan
231110,dbdonaldson,"Richmond, VA",0,nan
247229,Elkhunter36,"Milwaukee, wi",0,nan
490200,jpmartin730,Central New Jersey ,0,nan
241988,Hollilane93,"Moran, Wyoming ",0,nan
703278,PhilDeluxe,LandPhil's Mancave,0,nan
1192644,Hendo_21,Gnangara Dve,0,nan
468662,eclecticelectric,"Troy, NY",0,nan
1002758,Jesswatt,YYZ & the world,0,nan
961160,nbirklid,Casa de Birklid. vT.2.0,0,nan
3094310,KerenY,CT,0,nan
2183840,lphoffman,Iowa,0,nan
163655,CARV3R,Texas,0,nan
31325,surfgreen,Yokohama,0,nan
479435,thstudios,Colorado ,0,nan
1983698,lanceleque,"Fond du Lac, WI",0,nan
295846,DannyZvox,"Fort Worth, Texas ",0,nan
498413,cchief19,League City,0,nan
1641612,dchristiansen,"Glasgow, UK",0,nan
1647106,,"Lehtisaari, Helsinki",50,3.0249999999999999
2214568,Pbednar,"Phoenix, AZ",0,nan
1058508,bertjehenk,lindestraat ,0,nan
1166720,Jacq_luhta,Key West,0,nan
1991847,coreyemmons,"West Milford, NJ",0,nan
1372704,Badger6,Stuttgart,0,nan
2651793,Olsanautti,finland,0,nan
495660,Crescent_Moon_Brewing,"Dunwoody, GA",0,nan
373060,nlaan,de brouwzolder,0,nan
736359,Eris713,New York,0,nan
277240,stholmes,"Winston Salem, NC",0,nan
2182566,LehmGame,Southern Lakes,0,nan
721518,wattoclone,"Lansdale, PA",0,nan
19008,Jason_Ag98,"Austin, TX",0,nan
3144627,,"Chengdu, China",7,3.1428571428571428
1520078,Russelljw,Northern Virginia,0,nan
290648,Raging_Red,Amersfoort,0,nan
3041256,Viralpenguin,Boston,0,nan
3005119,Dugdeb,Bonney Lake,0,nan
257885,williannn,Lisboa,0,nan
35110,cdoerr,Los Angeles,0,nan
422448,Clmoldy,Moldy's place,0,nan
3166749,Nemesis1022,Crystal MI,0,nan
1914690,theizmeister,"Denver, CO",0,nan
585690,Flyurick,Minnesota,0,nan
33705,ARaces23,Arkansas by way of Texas,0,nan
1637568,bess1974,Derbyshire,0,nan
203607,Raister82,Oktoberfest,0,nan
3112865,ashtoncarter,CT,0,nan
368312,Pugznbeer,"Ware, MA",0,nan
388315,Tcat63,"Deltona, FL",0,nan
2404661,Jaccobijn,Harderwijk,0,nan
141668,Fishman2,Leicester,0,nan
1266912,Keckman,Bangkok,0,nan
81037,k8d,"Fairfield, CT",0,nan
11260,pnjman,Birmingham,0,nan
1095047,bjfelix,"Gilbert, AZ",0,nan
870165,Ardefact,Gdansk,0,nan
552628,westonbruner,Brisbane ,0,nan
199038,blamuek,oz,0,nan
827893,Dwunrow,Franklin WI,0,nan
1520417,Ginger42,Beer City Michigan,0,nan
2246104,patsfan15,The woods,0,nan
2190522,smitchell74,Cascadia,0,nan
708520,deviant47,"coaldale, pa",0,nan
525222,Fletch_er,Wisconsin ,0,nan
1099554,AllieT312,"Hershey, PA",0,nan
1901055,samcav,Metro Detroit ,0,nan
753089,jorgel1209,Los Mochis,0,nan
604923,,"bristol, pa",49,3.8775510204081631
580493,Hustlesworth,"Alliance, Ohio - Chives Grille",0,nan
731456,taint,behindDboys,0,nan
1174572,rillon,Malmö,0,nan
1850946,luvipas,Likely at a place that serves craft beer,0,nan
3078966,allsorts_LA,SoCal,0,nan
391774,leitecristiane,Boa Vista - Roraima - Brazil,0,nan
1143065,peterjsavage,Washington DC,0,nan
908600,thejerseydevil,NJ,0,nan
438357,blassor,New Jersey,0,nan
75067,DrinkingDrake,"Newton, ma",0,nan
1330331,GeorgesLeYeti,Metz,0,nan
2371394,Izzy7781,Wigan ,0,nan
824884,Biro,sweden,0,nan
1149399,Becaslovakia,Sydney,0,nan
748603,oktane,London,0,nan
882025,Guitarmikeb,Central North Carolina,0,nan
145319,bxgiant,NOVA,0,nan
1350392,LianeGR,"Cleveland, Ohio",0,nan
1940176,pmwolfe,"Hackensack, NJ ",0,nan
1680445,bossebk,Storvreta ,0,nan
1964865,Halfo09,Birmingham,0,nan
3120655,nilurie,Kanazawa,0,nan
380211,Kristyn,"Woodland, CA",0,nan
52949,GreenMunky,"Spring, TX",0,nan
370871,PlagueHaus,"Magnolia, TX",0,nan
44815,aburns,"New Hope, MN",0,nan
181884,tweagle,Sheffield UK,0,nan
281672,ronaldeldridge,carrollton TX,0,nan
854558,nigepitch,Purley,0,nan
923614,DiscoStew76,Bonneau's Beer Bungalow,0,nan
143410,reporterjen,"Columbus, OH",0,nan
694813,Jbidlow,"Easton, PA ",0,nan
1417907,rdenney18,"Lawton, IA",0,nan
380792,STP,Milwaukee WI,0,nan
477082,marty5231,"Chicago, IL",0,nan
2486105,briandus,"Rochester, NY",0,nan
103324,spyderdezigns,"Elkhart, Indiana",0,nan
311963,WillSher,"Spokane, WA",0,nan
133430,Branden,PA,0,nan
651896,Pister,Oslo,0,nan
52717,draxius,"Eatontown, NJ",0,nan
2760687,Tochca_Titan,Minsk,0,nan
915616,Arthurdewit,woerden,0,nan
124768,dkralovec,"Minneapolis, MN",0,nan
736255,LSReynolds41,"Athens, Georgia",0,nan
600861,BestBeers,Betekom,0,nan
1944100,BrandonMarry,"The Hague, Netherlands",0,nan
3002534,Wbed,"Glen Allen, VA",0,nan
312934,torbenbjerregaard,"Frederiksberg, Danmark",0,nan
81200,sparkyathome,Philadelphia,0,nan
1341647,Maxswift,211 Coronado Drive,0,nan
796249,kylewlutes,Virginia,0,nan
1899729,caggi14,"Fresno, CA",0,nan
701634,nmtschuor,Indy,0,nan
75005,adroc,Chicago,0,nan
1344232,Martin_T,"Weymouth, Dorset, UK",0,nan
2201179,JGriffin43,"Alexandria, VA",0,nan
2653264,boulderhead,Singapore,0,nan
1025877,Punssimies,Tampere,0,nan
729349,magnetizm,Sandnes,0,nan
817252,Rick4220,"Warminster, Pa",0,nan
119849,cps98,PA,0,nan
868006,kaikko,San Diego,0,nan
521356,wmfrey,"Friendswood, TX",0,nan
2550604,Matthijsheuts,Amsterdam ,0,nan
2272825,MrStargate,Ohio,0,nan
2288212,sionide,Sydney,0,nan
1068128,RockyMountainLoaded,Washington DC,0,nan
2266393,BlindTigCoU,"West Chelsea, NYC",0,nan
2928226,Paulantony1982,Newcastle,0,nan
1220376,drewk0280,DK home,0,nan
2208411,NinjaRico,Sweden ,0,nan
183099,norton245,Buffalo,0,nan
1705051,Stonegood,Sørumsand,0,nan
1211128,peanutisawesome,"Nashville, TN",0,nan
189146,martinstarkey83,Manchester,0,nan
2020644,PlutonowyManiek,Baardegem,0,nan
735764,nazgullien,Paris,0,nan
595603,Kirunavinter,VilleValla Pub,0,nan
1964700,Tital,Reims,0,nan
75690,paulmclark,Sheffield,0,nan
766522,Colty42,"Washington, DC",0,nan
14551,jimwalter,"Cheyenne, WY",0,nan
1409526,GoPackGo18,Packers Fan Cave,0,nan
2489443,Zachthefuckbrack,Charlotte ,0,nan
1956788,radk,Porto Alegre,0,nan
2363418,Tommypig88,Sydney,0,nan
243600,nicholas.j.eldred,Camillus,0,nan
512307,,Hengelo ,50,3.6000000000000001
1067430,Mads_hj25,Lysthuset,0,nan
133995,kempner,"St. Louis, MO",0,nan
2421604,Badheroinside,Moscow,0,nan
1033016,paulgumby,Brentwood gateway to Essex. Please shut the door as you leave,0,nan
2727141,countingbeerslikesheep,Auckland,0,nan
939934,clintmd,"Flint-ish, MI",0,nan
3155618,heathbr,CT,0,nan
