alphaAcidMin,betaAcidMax,betaAcidMin,caryophylleneMax,caryophylleneMin,category,cohumuloneMax,cohumuloneMin,countryCode,countryName,countryOfOrigin,description,farneseneMax,farneseneMin,humuleneMin,myrceneMax,myrceneMin,status
6,6,3.2,11,9,hop,40,35,GB,UNITED KINGDOM,GB,"One of the earliest bittering hops, Bullion was created in 1919 by an open pollinated cross between an unidentified English male and an wild Manitoba hop. Unlike modern bittering hops, Bullion has a strong, distinctive character which is perceptible, especially in additions later than 60 minutes. The aroma and flavor characteristics are strong, pungent and sometimes harsh or resiny, with elements of spiciness and a fruit character that has been described as black currant or raspberry. Bullion has become less popular with the wide availability of new bittering hops with better storage characteristics and a more neutral bittering character, but its unique flavor makes it worth considering for home and craft brewers.",1,,12,65,45,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
5.5,7,4.5,4.5,4.5,hop,40,33,US,UNITED STATES,US,"Cascade was created in the United States as an open-pollinated cross between Fuggle and Serebrianker. Its instantly recognizable grapefruit, floral aroma is characteristic of many American ales. Cascade is also one of the easiest hop varieties to grow; it can grow well under less than ideal conditions or in short growing seasons, and unlike most varieties, if started from a good rhizome a Cascade can produce a good crop even in its first growing season.",6,6,13,60,45,
,,,,,hop,,,,,,,,,,,,
6,4.5,3.5,8,4,hop,30,28,US,UNITED STATES,US,"Sometimes called a super Cascade, Centennial was bred in 1974 but not released until 1990. It has a floral, citrus aroma and a clean spicy flavor; its heritage includes Brewer's Gold, Fuggle, and East Kent Golding. Popular among craft brewers, Centennial lends its distinctive character to, among others, Sierra Nevada Celebration Ale and Sierra Nevada Bigfoot Barleywine.",1,,10,60,45,
6.5,4.5,4,10,8,hop,30,20,GB,UNITED KINGDOM,GB,"A granddaughter of Northern Brewer developed at Wye, Challenger is a classic true dual purpose hop and one of the most popular English hops of the 1980s and 1990s. It has a clean bittering from relatively high alpha acids and good aroma characteristics. It has a fine fruity aroma with spicy overtones. Like many other varieties developed at Wye, this hop is sometimes known as Wye Challenger, especially in older references. This simply indicates that it was developed at Wye, not necessarily anything about where it was grown.",3,1,25,42,30,
12,4,3,11,9,hop,35,29,US,UNITED STATES,US,"Released in 1985, Chinook is a strong bittering hop derived from Petham Golding, one of the English Golding hops. It is used in stouts and porters for its heavy spicy aroma.",1,,18,40,35,
11,4.5,3.5,8,6,hop,24,22,,,,"Comprised of Hallertau Mittelfrüh, US Tettnang, Brewer's Gold and East Kent Golding",1,,11,65,60,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
7,5.5,3,10,6,hop,43,36,US,UNITED STATES,US,"Columbia was generally considered similar, but inferior, to its sister selection, Willamette, and is now no longer commercially grown in the United States.",30,10,14,68,31,
,,,,,hop,,,,,,,,,,,,
14,5.8,4.5,12,7,hop,35,29,US,UNITED STATES,US,"This high alpha acid bittering hop was developed from the Centennial hop by the HopUnion breeding program. It is a low-cohumulone hop which gives a clean but long-lasting bitterness to beer. It can also be used as a dry hop in larger American beers, such as Pliny the Elder by Russian River Brewing. Tomahawk is a registered trademark of Yakima Chief Ranches, LLC, under which they sell a hop believed to be identical to Columbus.",1,,15,45,25,
,,,,,hop,,,,,,,,,,,,
3.5,6.7,4.5,8,4,hop,26,20,US,UNITED STATES,US,"A triploid released in 1993 as part of a program attempting to develop an American substitute for Hallertauer Mittelfr?h, Crystal was derived primarily from Hallertauer with contributions from Cascade, Brewer's Gold and Early Green. Also known as CJF-Hallertau. Sister hops from the same program include Liberty, Mount Hood, and Ultra. Crystal has a very mild character, clean and slightly spicy, and is generally used in lagers and pilsners.",0.1,0.1,18,65,40,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
4,2.8,1.9,16,12,hop,32,28,GB,UNITED KINGDOM,GB,"The premier English aroma hop, an English landrace with a lineage going back to 1790. Ideal for bittering and finishing any kind of English ales, and also works well in lagers due to its delicate, slightly spicy aroma.",0.4,0.4,38,25,25,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
14.4,5.1,4.6,,,hop,38,31.7,,,,"A pronounced aroma profile with citrus, tropical fruit, floral and herbal characteristics. Specific descriptors include lemon, lime, papaya, apple, and green pepper.",,,,,,
11,5.5,4,12,7,hop,42,36,US,UNITED STATES,US,"Eroica is a high-alpha hop derived from Brewer's Gold, selected in Idaho in 1968. This was a very popular general purpose bittering hop with a clean bittering profile, but has gradually been replaced by Galena and is now generally no longer commercially available.",1,,,65,55,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
4,4.1,2.3,7,6,hop,34,31,GB,UNITED KINGDOM,GB,"Derived from Whitbread Goldings Variety and a dwarf male, First Gold was one of the first Hedgerow hop varieties available to the home and commercial brewers. It combines good bittering properties with a woody, minty flavor and aroma that has been compared to WGV and to Fuggle. Considerable areas of First Gold are being planned and there is significant interest already from Britain's traditional ale brewers for bittering and for late and dry hopping.",4,2,20,28,24,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
4,2,1.5,10,6,hop,32,25,US,UNITED STATES,US,"Fuggle cultivar hops grown in the United States are not considered as desirable as the true English Fuggles, but they probably retain more of their character than most other transplanted landrace varieties. American growers developed Willamette as a similar but hardier and better-producing hops for American use. Fuggles and related varieties have been used around the world under various names, from Styrian Goldings in Slovenia to Tettnanger in the United States.",5,4,20,60,40,
3,3.1,2,14,9,hop,30,25,GB,UNITED KINGDOM,GB,"Fuggle is an English hop cultivar. Sometimes considered an English landrace, Fuggles were seedling selected in England in 1875. The true Fuggle (English) is sometimes considered a noble hop, and while it is sometimes considered inferior to Golding hop varieties such as the famous East Kent Goldings, Fuggle's flavor and mild, spicy, woody aroma are deeply characteristic of English beer. Fuggle has suffered from wilts of late, and has largely been replaced by newer varieties. Fuggle provides a full British style palate and can be used alone, but is often blended with East Kent Goldings. Fuggles and related varieties have been used around the world under various names, from Styrian Goldings in Slovenia to Tettnanger in the United States.",7,5,30,28,24,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
11,9,7,5.5,3,hop,42,32,US,UNITED STATES,US,"Galena is a high-alpha hop variety developed by the Iowa state breeding program in 1968 by open pollination from Brewer's Gold and released to the trade in 1978. Because of its strong, clean bitterness, it is said to be among the most common bittering hops used in America. It is sensitive to growing conditions and can be more difficult to grow outside of the Northwest. Galena has a strong fruity/black currant aroma similar to Bullion.",1,,10,60,55,
,,,,,hop,,,,,,,,,,,,
7,6.5,5,5,1,hop,35,31,DE,GERMANY,DE,"Daughter of Cascade
Distinct tangerine and citrus flavors",1,,5,71,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
18,6,4.5,13,8,hop,,,DE,GERMANY,DE,"New hop cultivar with spicy and fruity aroma including a refreshing minty note.

Brewing tirals with Polaris
Single hopped beers including bottom and top fermenting types using conventional late hopping regime and/or dry-hopping
revealed the excellent aroma and bitter quality of Polaris with uniquely versatile and distinct aromatic character with fruity, minty, slightly citrusy aroma notes.

Typical Brews: Black IPAs, IPAs",,,22,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3.3,9.5,5.4,10,6.5,hop,13,11,US,UNITED STATES,US,"Released in 2000 from Washington State University, supposed to be a balanced bittering/aroma hop. Said to be a more citrusy version of Willamette.",0.3,,24,62,33,
4,3,2,15,10,hop,25,20,US,UNITED STATES,US,Golding hops grown in the United States are generally considered inferior to English-grown varieties. Most American Golding plantings are derived from Canterbury Golding.,1,1,35,35,25,
9,7.5,6.5,9,6,hop,43,41,NZ,NEW ZEALAND,NZ,A bittering hop developed in 1972 by the New Zealand DSIR Research Station as an open-pollinated triploid of Smoothcone. It is said to have a distinctive raisin-like character.,0.3,,20,52,38,
4.1,4.7,4.7,14.6,14.5,hop,26,23,DE,GERMANY,DE,"Hallertauer Mittelfrüher or Hallertauer Mittelfrüh is the landrace cultivar of the Hallertau, the premier hop growing region of Germany. When grown in the Hallertau, these hops are properly called Hallertau Hallertauer Mittelfrüher, but this is usually shortened to Hallertau Hallertauer. However, homebrewers should be aware that ""Hallertau Hallertauer"" is also sometimes used to describe other aroma hops grown in the Hallertau, especially Hallertauer Gold. These hops are one of four hops almost always considered to be noble hops, and are much prized, especially by continental European brewers, for their flavor and aroma characteristics. However, because of their extreme susceptibility to verticillium wilt, true Hallertauer Mittelfr?her is disappearing from the Hallertau. This has led to efforts to breed wilt-resistant hops with similar characteristics, to grow the Hallertauer Mittelfrüher in areas outside of the Hallertau, especially in Tettnang, Hersbruck, and Spalt, and to grow other aroma varieties in the Hallertau, with the result that the name ""Hallertau"" or ""Hallertauer"", once synonymous with this variety, has been applied to so many hop varieties that it sometimes becomes confusing. The true Hallertau Hallertauer Mittelfrüher has the mild, pleasantly spicy aroma and flavor described simply as ""noble"" and characteristic of the great German lagers.",0.1,,55.1,17.5,15.5,
4,6,3,15,10,hop,29,24,DE,GERMANY,DE,"Hallertauer Tradition is a German aroma variety, derived from Hallertauer Gold, which was bred as a replacement for Hallertau Hallertauer Mittelfr?her. It combines a flavor said to be similar to Hallertauer Mittelfr?her with significantly improved disease and pest resistance and higher yield. As with Hallertau Hallertauer Mittelfr?her, the ""Hallertauer"" in Hallertauer Tradition is part of the name of the cultivar, and hops of this cultivar grown outside the may also be referred to as Hallertauer Tradition, although it is sometimes simply called Tradition. However, because this variety is currently grown primarily in the Hallertau, the full name is not generally used, and the hop is generally sold simply as Hallertauer Tradition even if it was grown in the Hallertau.",0.1,,35,32,17,
7,5,3,12,8,hop,33,27,DE,GERMANY,DE,"Originally developed in England (see Northern Brewer (British)), this hop quickly became established both in the Hallertau in Germany and, later, in the United States (see Northern Brewer (American)). It is no longer grown in the U.K. in significant amounts. In addition to being a good all-around bittering hop for German-style beers, it is the only hop used in Anchor's Steam Beer, and is often used in other beers of the same style.",0.1,,25,35,30,
3.5,5.5,3.5,12,10,hop,24,18,US,UNITED STATES,US,"Small quantities of the true Hallertauer Mittelfr?her cultivar are grown in the United States. However, just as with other Hallertauer hop varieties, it can be difficult to know what exactly you are getting; Hallertauer Gold, Mount Hood, and Liberty, among others, are sometimes sold as ""U.S. Hallertauer"". Even the true Hallertauer Mittelfr?her is not considered to have a true noble hop quality when grown in the United States.",0.1,,30,44,35,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
11,7,5,13,8,hop,29,21,DE,GERMANY,DE,"Derived from German hops including Hallertauer Mittelfr?her and Galena, Hallertauer Magnum, sometimes just called Magnum, is a bittering hop cultivar with a clean German flavor and aroma profile, excellent for bittering any kind of German beer. It is one of the most popular bittering hops in Germany, and is also grown in the United States. Because ""Hallertauer"" is part of the cultivar name and not necessarily an indication of where the hop was grown, you should not assume that all Hallertauer Magnum hops were grown in the Hallertau. Magnum hops sold in the United States are often labeled as ""Yakima Magnum""; it is unclear whether this represents a separate cultivar or simply Yakima Valley-grown Hallertauer Magnum.",1,,30,45,30,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
9,5.5,4.8,9,5,hop,37,35,GB,UNITED KINGDOM,GB,"This was developed at Wye as a bittering hop with a better flavor profile than Target. The result is this recent hop, a sister of Pioneer, which combines strong bitterness with a citrusy, grapefruit character. It has been quickly adopted by many English craft breweries.",1,,13,42,38,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
10.2,8.5,6.5,6,5,hop,22,17,US,UNITED STATES,US,"Horizon is an American bittering variety with an extremely clean, subtle bitterness and alpha acids usually in the 11-13% range. Derived from Brewer's Gold and Early Green, it is currently grown only by a single American producer and so is not generally available to home brewers.",2,2,8,70,65,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
6,6,5,,,hop,23,21,NZ,NEW ZEALAND,NZ,"Kohatu is a very new variety with mid-range alpha and moderate amounts of aromatic oils.

With characteristic tropical character but comparatively subtle profile for a Southern Hemisphere hop, Kohatu is a welcome addition to Belgian ales, wheat beer, or blonde ales where an “over the top” hop quality may not be desired; or as part of a blend with more intense varieties for New Zealand-style IPA.",,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3,4,3,12,9,hop,28,24,US,UNITED STATES,US,"A triploid released in 1983 as part of a program attempting to develop an American substitute for Hallertauer Mittelfr?h, Liberty was derived from a tetraploid Hallertauer and an unnamed aroma variety. Sister hops from the same program include Mount Hood, Crystal, and Ultra. Liberty has a unique slightly spicy character and, unlike its half-sisters, is considered a true noble hop by some. Excellent in German lagers.",1,,30,42,24,
3,4,2.5,11,6,hop,30,25,PL,POLAND,PL,"The Lubelski hop, sometimes called Lublin after its traditional growing area in the Lublin region of Poland, is a Polish landrace almost certainly derived from Czech Saaz. Lublin is considered noble by some and has a chemical composition and aroma characteristics very similar to the classic noble hops, but is somewhat easier to grow.",14,10,30,35,22,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3,7.5,4,15,7,hop,27,22,US,UNITED STATES,US,"A triploid released in 1983 as part of a program attempting to develop an American substitute for Hallertauer Mittelfr?h, Mount Hood was a cross between a tetraploid Hallertauer and an unnamed aroma variety derived from Early Green. Sister hops from the same program include Liberty, Crystal, and Ultra. Mount Hood has a mild and clean aroma and flavour, excellent for finishing European lagers.",1,,15,65,30,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
6.5,8.5,7.7,9,6,hop,37,28,NZ,NEW ZEALAND,NZ,"Hops sold as New Zealand Hallertau or New Zealand Hallertauer are not simply Hallertauer Mittelfr?her hops grown in New Zealand, as the name might suggest, but a new triploid cultivar developed in New Zealand, with a heritage that is two-thirds Hallertauer Mittelfr?her and one-third native New Zealand hop. The resulting hop is a clean dual-purpose lager hop with a floral and lime zest character.",7,4.5,12,47,35,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
6,6.2,3.6,17,13,hop,30,23,GB,UNITED KINGDOM,GB,"A Northern Brewer cross developed at Wye, Northdown shares many of the Northern Brewer flavor and aroma characteristics, with a a clean and mild bitterness and a distinctive strong, woody, minty flavor. Like many other varieties developed at Wye, this hop is sometimes known as Wye Northdown, especially in older references. This simply indicates that it was developed at Wye, not necessarily anything about where it was grown. Northdown replaced Northern Brewer in many dark or strong British beers when it was released in 1970, including some Dry Stouts. Its distinctive flavor helped it survive in many beers even after the introduction of cleaner, higher-alpha varieties such as Target. Today it is sometimes sold under the name of ""Northern Brewer (Northdown)"", although the two cultivars are distinct.",1.1,,40,36,23,
8,5,3,8.5,5.5,hop,30,20,US,UNITED STATES,US,"Originally developed in England (see Northern Brewer (British)), this hop quickly became established both in the Hallertau in Germany (see Hallertauer Northern Brewer) and, later, in the United States . It is no longer grown in the U.K. in significant amounts. In addition to being a good all-around bittering hop for German-style beers, it is the only hop used in Anchor's Steam Beer, and is often used in other beers of the same style. However, the American-grown versions are often considered inferior to the German for use as an aroma hop.",0.1,,20,60,50,
12,6,4,10,7,hop,30,24,US,UNITED STATES,US,"A strong bittering hop derived from Brewer's Gold, with contributions from Early Green, East Kent Golding, and others. Primarily used for bittering, it has a smooth but somewhat heavy, herbal, spicy bitterness. Some feel that its distinctive flavor and aroma characteristics give it potential as an aroma hop as well.",1,,12,59,51,
10,6.1,3.8,7,5,hop,40,26,US,UNITED STATES,US,"Olympic is a bittering hop, developed by seedling selection made in 1974 and released in 1983. It has a spicy, citrusy aroma.",1,,3,67,60,
,,,,,hop,,,,,,,,,,,,
4,6,4,14,14,hop,25,25,NZ,NEW ZEALAND,NZ,"Coming out of New Zealand’s Hops with a Difference breeding program, Orbit features a unique aroma and flavor profile which brews up beautifully. Grown in very small plots, it can be difficult to find, but worthwhile if you're looking for a unique New Zealand flavor flourish.",2,2,33,33,33,
,,,,,hop,,,,,,,,,,,,
13,9,7,11,7,hop,40,37,NZ,NEW ZEALAND,NZ,"Released in 1987 by the New Zealand DSIR Research Station, Pacific Gem is a high-alpha triploid derived from Smoothcone. While hardy in New Zealand, it generally does not grow well in the United States. It is said to contribute a cask-oak or woody character and blackberry notes when used in bittering.",0.3,0.05,18,55,33,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
7,5,4,12,10,hop,32,27,US,UNITED STATES,US,"Bred in Germany from Northern Brewer, Perle was an attempt at a higher-alpha replacement for Hallertauer Mittelfr?her. It has a pleasant aroma with a minty character. American versions have a very different profile than those grown in Germany.",1,,28,55,45,
7,5.5,3.3,10,8,hop,33,24,GB,UNITED KINGDOM,GB,"A new high-alpha hop released by the Horticulture Research Institute at Wye in 2001, Phoenix has an unusually high total oil content and an aroma similar to Challenger. Like many other varieties developed at Wye, this hop is sometimes known as Wye Phoenix, especially in older references. This simply indicates that it was developed at Wye, not necessarily anything about where it was grown.",2,1,25,32,24,
,,,,,hop,,,,,,,,,,,,
9,5.2,4.2,8,7,hop,38,36,GB,UNITED KINGDOM,GB,"A new dual-purpose hop released by the Horticulture Research Institute at Wye in 2001, Pilgrim has a distinctive aroma because of its high selinine levels. Like many other varieties developed at Wye, this hop is sometimes known as Wye Pilgrim, especially in older references. This simply indicates that it was developed at Wye, not necessarily anything about where it was grown.",0.3,0.3,15,36,25,
8,4,3.5,8,7,hop,40,36,GB,UNITED KINGDOM,GB,"Pioneer is a dual-use hedgerow hop or, according to some sources, a ""semi-dwarf"" hop that lacks some true hedgerow hop characteristics. It has a pleasant English character and relatively high alpha acids.",1,,22,36,31,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
8,8,6,5,3,hop,40,27,GB,UNITED KINGDOM,GB,"A once-popular English variety open pollinated from Brewer's Gold, Pride of Kent is now best known as the parent of the popular Australian hop Pride of Ringwood.",0.1,,5,85,60,
7,6,4,10,5,hop,39,32,AU,AUSTRALIA,AU,"Pride of Ringwood was bred in Australia from the English hop Pride of Kent, possibly by means of crossing with a wild Tasmanian hop. Although its 7-10.5% alpha acid level has been eclipsed by later-developed hops, when it was released in 1965 it was the highest alpha acid hop in the world. An even higher alpha version, Super Pride, was later developed by Australian hop breeders. Pride of Ringwood quickly became the predominant Australian hop, accounting for about 90% of the country's hop production. The vines are vigorous growers. Pride of Ringwood has a distinct citrus aroma that is strong and somewhat coarse but still pleasant; it is quite distinctive, especially in late additions, and accounts for the unique character of many Australian beers, including Foster's lager.",1,,2,50,25,
4,2.5,2,15,12,hop,36,25,GB,UNITED KINGDOM,GB,"A cross between Whitbread Goldings Variety and a wild North American hop, Progress has moderate bittering power along with great aromatics. It has a mild spicy or woody character somewhat similar to Fuggle (British), but is slightly sweeter, and usually provides a softer bitterness in beers of all types. This variety has a potential, not yet fully exploited, to provide excellent beer flavours.",0.5,0.5,40,35,30,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3,4.5,3,11,9,hop,28,24,US,UNITED STATES,US,"Some American growers also grow a version of the Czech Saazer hop, although American versions are usually considered to lack true noble hop character, with higher myrcene and total oil than true Saaz Saazer. Saaz is a difficult hop to grow in the United States due to inconsistent yields and susceptibility to disease.",13,9,35,30,25,
3,8,3,12,10,hop,28,23,CZ,CZECH REPUBLIC,CZ,"Saaz, now known as Zatec, is the name of a city noted for its hop production. Historically, hops from Saaz (?atec) were considered among the finest in Europe, and were the backbone of the original Bohemian Pilsner; ?atec (Saaz in German) is in the area in NW part of Bohemia of the modern-day Czech Republic. In brewing, Saaz usually refers to the hop cultivar traditionally associated with Saaz and Bohemian Pilsner. Although the traditional name for this hop would be Saazer (or Saaz Saazer when grown in the Saaz area), it is generally simply referred to as Saaz or Czech Saaz. zech Saaz is grown not only in ?atec area but also in Tr?ice area (Central Moravia) and ?st? n/L area (North Bohemia). Saazer hops are also grown in other countries. Saaz grown outside of the Czech Republic will have different characteristics and will generally be identified by their nation of origin: for example, Saaz (American). True Saaz Saazer hops are prized for their mild, pleasant flavor, and are the only choice for brewing an authentic Pilsner.",20,11,15,40,20,
5,8.5,6,8,5,hop,24,20,US,UNITED STATES,US,"A triploid American aroma hop created from a diploid Tettnanger and a tetraploid Hallertauer, Santiam was released in 1998. It is considered an excellent aroma hop with some Tettnanger-like noble character.",16,13,20,45,27,
,,,,,hop,,,,,,,,,,,,
12.5,9,8.5,14,10,hop,35,32,US,UNITED STATES,US,"Satus is a new bittering hop variety with characteristics similar to Galena. It is a proprietary hop, and the name ""Satus"" is a registered trademark of Yakima Chief Ranches, LLC.",1,,21,27,23,
12,5,4,8,5,hop,20,15,US,UNITED STATES,US,"Simcoe is a dual-purpose hop variety which its grower claims is similar in character to Amarillo. It is a proprietary hop, and the name ""Simcoe"" is a registered trademark of Yakima Chief Ranches, LLC.",1,,10,65,60,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
11,6,5,6.7,6.7,hop,28,25,NZ,NEW ZEALAND,NZ,"This New Zealand triploid, released in 1994, has citrusy and spicy aromas. It was developed as a high-alpha bittering hop, but when used late in the boil contributes distinctive lemon/lime flavor notes.",7.3,7.3,21,32,32,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
3,6.2,2.5,13,4,hop,27,20,DE,GERMANY,DE,"Spalt Select, sometimes called Spalter Select, was released in the late 1980s by the German hop breeding program at H?ll. The goal of Spalt Select was to reproduce the classic noble hop character of the Spalt Spalter landrace in a more easily grown hop. Spalt Select was reportedly chosen by Anheuser-Busch to replace Spalt Spalter and Tettnang Tettnanger hops in some of their recipes. Some Spalter Select hops available to American homebrewers may be labeled simply as ""Spalt"" or ""Spalter"", but in fact Spalt Select is not the same cultivar as Spalt Spalter or even a closely related cultivar; it is a triploid derived primarily from Hallertauer Mittelfr?h. Since ""Spalt"" or ""Spalter"" is part of the hop's name, hops grown anywhere may be sold as ""Spalter Select."" In fact, in addition to Spalt, much commercial production of Spalt Select takes place in the Hallertau. Some growers are currently growing Spalt Select as an organic hop.",22,,10,50,20,
2.5,5,3,13,8,hop,29,22,DE,GERMANY,DE,"Usually considered one of the classic noble hops, Spalt spalter is the landrace hop of Germany's Spalt growing region, closely related to Saaz Saazer and Tettnang Tettnanger. Today some Spalter hops are also grown in other parts of Germany and marketed simply as Spalt. Spalt Spalter has a mild, spicy aroma that is often compared to Czech Saaz or Tettnang Tettnanger. Can be used in any beer calling for a noble hop. Because of the poor growing characteristics of this hop, Spalt Select, a hop claimed to have similar flavor and aroma but better growing characteristics, was released by the German hop breeding program at H?ll in the 1980s, and is now grown extensively both in Spalt and in the the Hallertau. Some Spalt Select hops available to American homebrewers may be labeled simply as ""Spalt"" or ""Spalter"".",18,12,20,35,20,
