"X","ColID","Beer","Origin","Style","ABV","Ratings","rating","reviews","state","region"
18,"18","Russian River Temptation","CA, USA","Belgian Strong Ale","7.25%","4.161 (20)",4.161,20,"CA","california"
19,"19","Founders Breakfast Stout","MI, USA","Coffee Stout","8.30%","4.159 (62)",4.159,62,"MI","michigan"
20,"20","AleSmith Barrel Aged Old Numbskull","CA, USA","English Barleywine","10%","4.142 (21)",4.142,21,"CA","california"
21,"21","Pizza Port Cuvee de Tomme","CA, USA","Belgian Strong Ale","12%","4.139 (30)",4.139,30,"CA","california"
22,"22","Hair of the Dog Adam","OR, USA","Strong Ale","10%","4.135 (54)",4.135,54,"OR","oregon"
23,"23","Founders Imperial Stout","MI, USA","Imperial Stout","10.50%","4.135 (34)",4.135,34,"MI","michigan"
24,"24","Firestone Walker Abacus","CA, USA","American Barleywine","12%","4.133 (12)",4.133,12,"CA","california"
25,"25","AleSmith Old Numbskull","CA, USA","English Barleywine","11%","4.131 (42)",4.131,42,"CA","california"
27,"26","Bells Black Note Stout","MI, USA","Imperial Stout","10.50%","4.131 (10)",4.131,10,"MI","michigan"
28,"27","Stone India Pale Ale","CA, USA","IPA","6.90%","4.130 (138)",4.13,138,"CA","california"
29,"28","Great Divide Hercules Double IPA","CO, USA","Imperial IPA","9.10%","4.122 (86)",4.122,86,"CO","colorado"
30,"29","Thirsty Dog Siberian Night Imperial Stout","OH, USA","Imperial Stout","9%","4.113 (45)",4.113,45,"OH","ohio"
31,"30","Deschutes The Dissident","OR, USA","Wild Ale","11%","4.111 (25)",4.111,25,"OR","oregon"
32,"31","Bear Republic Big Bear Black Stout","CA, USA","Imperial Stout","8.10%","4.107 (59)",4.107,59,"CA","california"
33,"32","Stone 6th Anniversary Porter","CA, USA","Imperial Porter","8%","4.106 (14)",4.106,14,"CA","california"
34,"33","Victory Old Horizontal","PA, USA","American Barleywine","11%","4.100 (70)",4.1,70,"PA","pennsylvania"
35,"34","Port Brewing Older Viscosity","CA, USA","Strong Ale","12.50%","4.100 (22)",4.1,22,"CA","california"
36,"35","Ommegang Three Philosophers","NY, USA","Abbey Quadrupel","9.80%","4.099 (114)",4.099,114,"NY","new york"
37,"36","North Coast Old Rasputin XIV","CA, USA","Imperial Stout","11.50%","4.090 (7)",4.09,7,"CA","california"
38,"37","Russian River Supplication","CA, USA","Wild Ale","7%","4.086 (33)",4.086,33,"CA","california"
39,"38","Ballast Point Victory at Sea Coffee Vanilla Imperial Porter","CA, USA","Imperial Porter","10%","4.082 (19)",4.082,19,"CA","california"
40,"39","AleSmith IPA","CA, USA","IPA","7.25%","4.081 (49)",4.081,49,"CA","california"
41,"40","Russian River Pliny the Elder","CA, USA","Imperial IPA","8%","4.076 (50)",4.076,50,"CA","california"
42,"41","Surly Abrasive Ale","MN, USA","Imperial IPA","8.80%","4.075 (13)",4.075,13,"MN","minnesota"
43,"42","Rogue Chocolate Stout","OR, USA","Chocolate Stout","6.30%","4.070 (106)",4.07,106,"OR","oregon"
44,"43","AleSmith Wee Heavy Scotch Ale","CA, USA","Scottish Ale","10%","4.067 (43)",4.067,43,"CA","california"
45,"44","Smuttynose Baltic Porter","NH, USA","Baltic Porter","8.70%","4.064 (19)",4.064,19,"NH","new hampshire"
46,"45","Surly Darkness","MN, USA","Imperial Stout","9.80%","4.063 (22)",4.063,22,"MN","minnesota"
47,"46","Three Floyds Dark Lord Imperial Stout","IN, USA","Imperial Stout","13%","4.062 (36)",4.062,36,"IN","indiana"
48,"47","Firestone Walker Parabola","CA, USA","Imperial Stout","13%","4.062 (13)",4.062,13,"CA","california"
49,"48","Dogfish Head 90 Minute IPA","DE, USA","Imperial IPA","9%","4.060 (139)",4.06,139,"DE","delaware"
50,"49","New Glarus Serendipity","WI, USA","Wild Ale","-","4.060 (12)",4.06,12,"WI","wisconsin"
51,"50","Brooklyn Black Chocolate Stout","NY, USA","Imperial Stout","10.10%","4.056 (109)",4.056,109,"NY","new york"
53,"51","Founders Canadian Breakfast Stout","MI, USA","Imperial Stout","9.40%","4.055 (8)",4.055,8,"MI","michigan"
54,"52","Bells Kalamazoo Stout","MI, USA","Stout","6.50%","4.054 (81)",4.054,81,"MI","michigan"
55,"53","Bells Two Hearted Ale","MI, USA","IPA","7%","4.053 (90)",4.053,90,"MI","michigan"
56,"54","Smuttynose Imperial Stout","NH, USA","Imperial Stout","10%","4.051 (32)",4.051,32,"NH","new hampshire"
57,"55","Rogue Shakespeare Stout","OR, USA","Oatmeal Stout","6%","4.050 (116)",4.05,116,"OR","oregon"
58,"56","Williamsburg AleWerks Brewmasters Reserve Café Royale","VA, USA","Imperial Stout","8%","4.050 (5)",4.05,5,"VA","virginia"
59,"57","Bear Republic Hop Rod Rye","CA, USA","Rye Beer","7.50%","4.046 (70)",4.046,70,"CA","california"
60,"58","Goose Island Rare Bourbon County Stout","IL, USA","Imperial Stout","13%","4.044 (6)",4.044,6,"IL","illinois"
61,"59","Victory Storm King Stout","PA, USA","Imperial Stout","9.10%","4.043 (89)",4.043,89,"PA","pennsylvania"
62,"60","The Bruery Black Tuesday","CA, USA","Imperial Stout","19.50%","4.040 (7)",4.04,7,"CA","california"
63,"61","Southern Tier Imperial Choklat Stout","NY, USA","Imperial Stout","11%","4.039 (38)",4.039,38,"NY","new york"
64,"62","Deschutes The Abyss","OR, USA","Imperial Stout","11%","4.034 (29)",4.034,29,"OR","oregon"
65,"63","Three Floyds Alpha King Pale Ale","IN, USA","American Pale Ale","6.50%","4.031 (62)",4.031,62,"IN","indiana"
66,"64","Bells Third Coast Old Ale","MI, USA","English Barleywine","9%","4.025 (48)",4.025,48,"MI","michigan"
67,"65","Prairie Artisan Ales Bomb!","OK, USA","Imperial Stout","14%","4.025 (5)",4.025,5,"OK","oklahoma"
68,"66","Bear Republic Racer 5 India Pale Ale","CA, USA","IPA","7%","4.022 (67)",4.022,67,"CA","california"
69,"67","Stone Oaked Arrogant Bastard Ale","CA, USA","Strong Ale","7.20%","4.022 (56)",4.022,56,"CA","california"
70,"68","New Belgium Lips of Faith La Folie","CO, USA","Flanders Red","6%","4.022 (44)",4.022,44,"CO","colorado"
71,"69","Surly Furious","MN, USA","IPA","6.50%","4.022 (31)",4.022,31,"MN","minnesota"
72,"70","Deschutes The Abyss 2011 / 2012 Reserve","OR, USA","Imperial Stout","11%","4.022 (6)",4.022,6,"OR","oregon"
73,"71","Russian River Consecration","CA, USA","Wild Ale","10%","4.020 (22)",4.02,22,"CA","california"
74,"72","North Coast Old Rasputin Russian Imperial Stout","CA, USA","Imperial Stout","9%","4.019 (135)",4.019,135,"CA","california"
75,"73","Hoppin' Frog Boris The Crusher","OH, USA","Imperial Stout","9.40%","4.016 (35)",4.016,35,"OH","ohio"
76,"74","Hair of the Dog Fred","OR, USA","American Barleywine","10%","4.013 (49)",4.013,49,"OR","oregon"
77,"75","Brooklyn Black Ops","NY, USA","Imperial Stout","10.70%","4.010 (18)",4.01,18,"NY","new york"
79,"76","Central Waters Brewer's Reserve Bourbon Barrel Stout","WI, USA","Imperial Stout","9.50%","4.003 (26)",4.003,26,"WI","wisconsin"
80,"77","New Glarus Raspberry Tart","WI, USA","Fruit Beer","4%","4.002 (43)",4.002,43,"WI","wisconsin"
81,"78","Epic Big Bad Baptist Imperial Stout","UT, USA","Imperial Stout","11.70%","4.000 (8)",4,8,"UT","utah"
82,"79","Great Divide Chocolate Oak Aged Yeti","CO, USA","Imperial Stout","9.50%","3.996 (24)",3.996,24,"CO","colorado"
83,"80","Sierra Nevada Hoptimum","CA, USA","Imperial IPA","10.40%","3.996 (24)",3.996,24,"CA","california"
84,"81","Bells Batch 7000","MI, USA","Imperial Stout","12%","3.995 (19)",3.995,19,"MI","michigan"
85,"82","Nectar Ales Black Xantus","CA, USA","Imperial Stout","11%","3.993 (12)",3.993,12,"CA","california"
86,"83","Stone Old Guardian Barley Wine","CA, USA","American Barleywine","11.26%","3.991 (64)",3.991,64,"CA","california"
87,"84","Cigar City Hunahpu's Imperial Stout","FL, USA","Imperial Stout","11%","3.989 (6)",3.989,6,"FL","florida"
88,"85","Dogfish Head Immort Ale","DE, USA","American Barleywine","11%","3.988 (62)",3.988,62,"DE","delaware"
89,"86","Dogwood Youngbloods Imperial Porter","GA, USA","Imperial Porter","8%","3.988 (22)",3.988,22,"GA","georgia"
90,"87","He'Brew Bittersweet Lennys R.I.P.A.","CA, USA","Imperial IPA","10%","3.987 (45)",3.987,45,"CA","california"
91,"88","Sierra Nevada Bigfoot Ale","CA, USA","American Barleywine","9.60%","3.986 (122)",3.986,122,"CA","california"
92,"89","Stone 10th Anniversary IPA","CA, USA","Imperial IPA","10%","3.986 (25)",3.986,25,"CA","california"
93,"90","Sierra Nevada 30th Anniversary Fritz & Ken Ale","CA, USA","Imperial Stout","9.20%","3.985 (23)",3.985,23,"CA","california"
94,"91","Firestone Walker 14","CA, USA","Strong Ale","12.50%","3.985 (10)",3.985,10,"CA","california"
95,"92","Great Divide Espresso Oak Aged Yeti Imperial Stout","CO, USA","Imperial Stout","9.50%","3.981 (33)",3.981,33,"CO","colorado"
96,"93","AleSmith Yulesmith - Winter","CA, USA","Strong Ale","9.50%","3.981 (18)",3.981,18,"CA","california"
97,"94","Boulevard Imperial Stout","MO, USA","Imperial Stout","-","3.981 (13)",3.981,13,"MO","missouri"
98,"95","Firestone Walker Double Jack","CA, USA","Imperial IPA","9.50%","3.978 (21)",3.978,21,"CA","california"
99,"96","Hoppin' Frog DORIS The Destroyer Double Imperial Stout","OH, USA","Imperial Stout","10.50%","3.977 (10)",3.977,10,"OH","ohio"
100,"97","Stone Enjoy By IPA","CA, USA","Imperial IPA","9.40%","3.976 (18)",3.976,18,"CA","california"
101,"98","Stone Bourbon Barrel Russian Imperial Stout","CA, USA","Imperial Stout","10%","3.975 (5)",3.975,5,"CA","california"
102,"99","Great Lakes Edmund Fitzgerald Porter","OH, USA","Porter","5.80%","3.974 (78)",3.974,78,"OH","ohio"
103,"100","Great Divide Old Ruffian Barley Wine","CO, USA","American Barleywine","10.27%","3.974 (56)",3.974,56,"CO","colorado"
105,"101","New Belgium Lips of Faith Le Terroir","CO, USA","Wild Ale","7.50%","3.970 (7)",3.97,7,"CO","colorado"
106,"102","Pizza Port Frank Double IPA","CA, USA","Imperial IPA","9.50%","3.969 (13)",3.969,13,"CA","california"
107,"103","Alchemist Heady Topper","VT, USA","Imperial IPA","8%","3.969 (11)",3.969,11,"VT","vermont"
108,"104","Russian River Blind Pig IPA","CA, USA","IPA","6%","3.968 (25)",3.968,25,"CA","california"
109,"105","Ommegang Abbey Ale","NY, USA","Belgian Strong Ale","8.50%","3.965 (91)",3.965,91,"NY","new york"
110,"106","New Glarus Unplugged Iced Barley Wine","WI, USA","American Barleywine","13.50%","3.965 (15)",3.965,15,"WI","wisconsin"
111,"107","Foothills Sexual Chocolate Imperial Stout","NC, USA","Imperial Stout","10%","3.965 (14)",3.965,14,"NC","north carolina"
112,"108","Lost Abbey Red Poppy Ale","CA, USA","Flanders Red","5.50%","3.960 (12)",3.96,12,"CA","california"
113,"109","Avery Mephistopheles Stout","CO, USA","Imperial Stout","16%","3.956 (40)",3.956,40,"CO","colorado"
114,"110","Alpine Beer Company Exponential Hoppiness","CA, USA","Imperial IPA","10.75%","3.956 (15)",3.956,15,"CA","california"
115,"111","Deschutes Black Butte XXIV","OR, USA","Imperial Porter","10.80%","3.956 (6)",3.956,6,"OR","oregon"
116,"112","Alaskan Smoked Porter","AK, USA","Smoked Ale","6.20%","3.952 (61)",3.952,61,"AK","alaska"
117,"113","Port Brewing Hop 15","CA, USA","Imperial IPA","9.70%","3.952 (26)",3.952,26,"CA","california"
118,"114","Lagunitas Sucks Holiday Ale","CA, USA","Strong Ale","7.60%","3.952 (20)",3.952,20,"CA","california"
119,"115","Anchor Porter","CA, USA","Porter","5.60%","3.951 (111)",3.951,111,"CA","california"
120,"116","Three Floyds Alpha Klaus Christmas Porter","IN, USA","Porter","7.50%","3.951 (38)",3.951,38,"IN","indiana"
121,"117","Southern Tier Imperial Mokah","NY, USA","Imperial Stout","11%","3.950 (27)",3.95,27,"NY","new york"
122,"118","Goose Island Bourbon County Coffee Stout","IL, USA","Imperial Stout","13%","3.950 (7)",3.95,7,"IL","illinois"
123,"119","Three Floyds Behemoth Barleywine","IN, USA","American Barleywine","11.30%","3.947 (29)",3.947,29,"IN","indiana"
124,"120","Allagash Interlude","ME, USA","Saison","9.50%","3.946 (21)",3.946,21,"ME","maine"
125,"121","Avery The Maharaja Imperial IPA","CO, USA","Imperial IPA","9.90%","3.945 (50)",3.945,50,"CO","colorado"
126,"122","Stoudts Fat Dog Stout (Vintages 2004 and later)","PA, USA","Imperial Stout","9%","3.945 (39)",3.945,39,"PA","pennsylvania"
127,"123","Southern Tier Jah-va Imperial Coffee Stout","NY, USA","Imperial Stout","12%","3.943 (28)",3.943,28,"NY","new york"
128,"124","Sierra Nevada Narwhal Imperial Stout","CA, USA","Imperial Stout","10.20%","3.943 (18)",3.943,18,"CA","california"
129,"125","Town Hall Masala Mama IPA","MN, USA","IPA","6%","3.943 (11)",3.943,11,"MN","minnesota"
131,"126","Central Waters Brewer's Reserve Bourbon Barrel Barleywine","WI, USA","American Barleywine","-","3.943 (11)",3.943,11,"WI","wisconsin"
132,"127","Samuel Adams Utopias","MA, USA","English Barleywine","25%","3.942 (23)",3.942,23,"MA","massachusetts"
133,"128","Stone Arrogant Bastard Ale","CA, USA","Strong Ale","7.20%","3.941 (147)",3.941,147,"CA","california"
134,"129","Deschutes Black Butte XX","OR, USA","Imperial Porter","11%","3.941 (14)",3.941,14,"OR","oregon"
135,"130","Fish Tale Poseidons Imperial Stout","WA, USA","Imperial Stout","10%","3.940 (17)",3.94,17,"WA","washington"
136,"131","Iron Hill Russian Imperial Stout","DE, USA","Imperial Stout","9.50%","3.940 (13)",3.94,13,"DE","delaware"
137,"132","Great Divide Belgian Style Yeti","CO, USA","Imperial Stout","9.50%","3.940 (12)",3.94,12,"CO","colorado"
138,"133","AleSmith Grand Cru","CA, USA","Belgian Strong Ale","10.50%","3.938 (36)",3.938,36,"CA","california"
139,"134","Firestone Walker Wookey Jack Black IPA","CA, USA","American Black Ale","8.20%","3.938 (18)",3.938,18,"CA","california"
140,"135","Boulevard Saison Brett","MO, USA","Saison","8.50%","3.935 (17)",3.935,17,"MO","missouri"
141,"136","Great Lakes Blackout Stout","OH, USA","Imperial Stout","9%","3.933 (47)",3.933,47,"OH","ohio"
142,"137","Port Brewing Old Viscosity","CA, USA","Strong Ale","10.50%","3.932 (34)",3.932,34,"CA","california"
143,"138","Stone Sublimely Self-Righteous Ale","CA, USA","American Black Ale","8.70%","3.931 (48)",3.931,48,"CA","california"
144,"139","Cigar City Marshal Zhukovs Russian Imperial Stout","FL, USA","Imperial Stout","11%","3.931 (10)",3.931,10,"FL","florida"
145,"140","Samuel Adams Millennium","MA, USA","Strong Ale","20%","3.930 (8)",3.93,8,"MA","massachusetts"
146,"141","Kuhnhenn Raspberry Eisbock","MI, USA","Fruit Beer","18%","3.928 (16)",3.928,16,"MI","michigan"
147,"142","Lost Abbey Deliverance","CA, USA","Strong Ale","12.50%","3.927 (8)",3.927,8,"CA","california"
148,"143","Three Floyds Zombie Dust","IN, USA","American Pale Ale","6.20%","3.926 (16)",3.926,16,"IN","indiana"
149,"144","Stone 09.09.09 Vertical Epic Ale","CA, USA","Belgian Strong Ale","8.70%","3.925 (21)",3.925,21,"CA","california"
150,"145","Boulevard Bourbon Barrel Quad","MO, USA","Abbey Quadrupel","11.80%","3.925 (17)",3.925,17,"MO","missouri"
151,"146","Lost Abbey Serpents Stout","CA, USA","Imperial Stout","11%","3.923 (19)",3.923,19,"CA","california"
152,"147","Ballast Point Sculpin IPA","CA, USA","IPA","7%","3.921 (30)",3.921,30,"CA","california"
153,"148","Dogfish Head Palo Santo Marron","DE, USA","Strong Ale","12%","3.919 (52)",3.919,52,"DE","delaware"
154,"149","AleSmith Decadence 2006 (Imperial Evil Dead Red Ale)","CA, USA","Strong Ale","9.90%","3.919 (13)",3.919,13,"CA","california"
155,"150","Bear Republic Racer X","CA, USA","Imperial IPA","9%","3.919 (13)",3.919,13,"CA","california"
157,"151","Stone 12.12.12 Vertical Epic Ale","CA, USA","Belgian Strong Ale","9%","3.919 (13)",3.919,13,"CA","california"
158,"152","Rogue Hazelnut Brown Nectar","OR, USA","Brown Ale","6.22%","3.916 (106)",3.916,106,"OR","oregon"
159,"153","Hair of the Dog Doggie Claws","OR, USA","American Barleywine","11.50%","3.915 (30)",3.915,30,"OR","oregon"
160,"154","Fish Tale Leviathan Barleywine","WA, USA","American Barleywine","10%","3.912 (22)",3.912,22,"WA","washington"
161,"155","Dogfish Head Olde School Barleywine","DE, USA","American Barleywine","15%","3.910 (37)",3.91,37,"DE","delaware"
162,"156","Hair of the Dog Matt Commemorative Ale","OR, USA","Strong Ale","11.50%","3.910 (7)",3.91,7,"OR","oregon"
163,"157","Lagunitas Hop Stoopid Ale","CA, USA","Imperial IPA","8%","3.909 (44)",3.909,44,"CA","california"
164,"158","MacTarnahans Bourbon Cask Aged Blackwatch Cream Po","OR, USA","Porter","6%","3.909 (8)",3.909,8,"OR","oregon"
165,"159","Deschutes Black Butte XXI","OR, USA","Imperial Porter","11%","3.908 (10)",3.908,10,"OR","oregon"
166,"160","Central Waters Peruvian Morning Imperial Stout","WI, USA","Imperial Stout","8%","3.908 (10)",3.908,10,"WI","wisconsin"
167,"161","Fat Heads Head Hunter IPA","OH, USA","IPA","7.50%","3.907 (12)",3.907,12,"OH","ohio"
168,"162","Weyerbacher Double Simcoe IPA","PA, USA","Imperial IPA","9%","3.905 (40)",3.905,40,"PA","pennsylvania"
169,"163","Troutbrook Thomas Hooker Liberator","CT, USA","Doppelbock","8%","3.905 (16)",3.905,16,"CT","connecticut"
170,"164","Full Sail Top Sail Imperial Porter","OR, USA","Imperial Porter","7.50%","3.904 (20)",3.904,20,"OR","oregon"
171,"165","Ommegang Hennepin","NY, USA","Saison","7.50%","3.900 (103)",3.9,103,"NY","new york"
172,"166","Flying Dog Wild Dog Double Pale Ale","MD, USA","Strong Ale","11.50%","3.900 (54)",3.9,54,"MD","maryland"
173,"167","Hair of the Dog Fred from the Wood","OR, USA","English Barleywine","10%","3.900 (13)",3.9,13,"OR","oregon"
174,"168","Deschutes Conflux No. 1 - Collage","OR, USA","Strong Ale","11.50%","3.900 (7)",3.9,7,"OR","oregon"
175,"169","Midnight Sun Berserker Imperial Stout","AK, USA","Imperial Stout","10.40%","3.900 (7)",3.9,7,"AK","alaska"
176,"170","Lagunitas B3K","CA, USA","Strong Ale","11.30%","3.900 (6)",3.9,6,"CA","california"
177,"171","Hoppin' Frog Barrel Aged Naked Evil","OH, USA","English Barleywine","11.30%","3.900 (6)",3.9,6,"OH","ohio"
178,"172","Oggi's Hop Whompus","CA, USA","Imperial IPA","9%","3.900 (6)",3.9,6,"CA","california"
179,"173","New Glarus R & D Bourbon Barrel Kriek","WI, USA","Fruit Beer","5.50%","3.900 (5)",3.9,5,"WI","wisconsin"
180,"174","Avery Uncle Jacobs Stout","CO, USA","Imperial Stout","17.42%","3.900 (4)",3.9,4,"CO","colorado"
181,"175","Alpine Beer Company Pure Hoppiness","CA, USA","Imperial IPA","8%","3.896 (24)",3.896,24,"CA","california"
183,"176","Full Sail Bourbon Barrel Aged Black Gold Imperial Stout","OR, USA","Imperial Stout","10.50%","3.895 (18)",3.895,18,"OR","oregon"
184,"177","Deschutes Mirror Mirror Barleywine","OR, USA","American Barleywine","11%","3.894 (14)",3.894,14,"OR","oregon"
185,"178","Sierra Nevada 30th Anniversary Our Brewers Reserve - Grand Cru","CA, USA","Strong Ale","9.20%","3.892 (10)",3.892,10,"CA","california"
186,"179","AleSmith Barrel Aged Wee Heavy","CA, USA","Scottish Ale","10%","3.892 (10)",3.892,10,"CA","california"
187,"180","Goose Island Night Stalker","IL, USA","Imperial Stout","11.70%","3.892 (9)",3.892,9,"IL","illinois"
188,"181","North Coast Old Stock Cellar Reserve Bourbon Barrel","CA, USA","English Barleywine","14.60%","3.892 (9)",3.892,9,"CA","california"
189,"182","Anchor Our Special Ale 2004","CA, USA","Spiced Beer","5.50%","3.891 (32)",3.891,32,"CA","california"
190,"183","Drake's Barley Wine Brandy Barrel","CA, USA","English Barleywine","14.70%","3.890 (7)",3.89,7,"CA","california"
191,"184","North Coast Old Stock Cellar Reserve Brandy Barrel","CA, USA","English Barleywine","14.70%","3.890 (7)",3.89,7,"CA","california"
192,"185","Oskar Blues G'Knight","CO, USA","Strong Ale","8.70%","3.886 (47)",3.886,47,"CO","colorado"
193,"186","Southern Tier Imperial Crème Brûlée Stout","NY, USA","Imperial Stout","10%","3.885 (30)",3.885,30,"NY","new york"
194,"187","Lagunitas Little Sumpin Sumpin Ale","CA, USA","IPA","7.30%","3.882 (31)",3.882,31,"CA","california"
195,"188","Russian River Beatification (Batch 002)","CA, USA","Wild Ale","6%","3.882 (8)",3.882,8,"CA","california"
196,"189","Sierra Nevada Harvest Fresh Hop IPA - Southern Hemisphere Harvest®","CA, USA","IPA","6.70%","3.880 (54)",3.88,54,"CA","california"
197,"190","Southampton Abbot 12","NY, USA","Abbey Quadrupel","10%","3.880 (17)",3.88,17,"NY","new york"
198,"191","Flying Dog Gonzo Imperial Porter","MD, USA","Imperial Porter","9.50%","3.878 (79)",3.878,79,"MD","maryland"
199,"192","Southampton Imperial Russian Stout","NY, USA","Imperial Stout","9.50%","3.877 (10)",3.877,10,"NY","new york"
200,"193","Midnight Sun La Mâitresse du Moine","AK, USA","Belgian Strong Ale","9%","3.876 (14)",3.876,14,"AK","alaska"
201,"194","Schlafly Reserve Bourbon Barrel-Aged Imperial Stout","MO, USA","Imperial Stout","10.50%","3.876 (14)",3.876,14,"MO","missouri"
202,"195","Terrapin Wake-n-Bake Coffee Oatmeal Imperial Stout","GA, USA","Imperial Stout","8.60%","3.875 (37)",3.875,37,"GA","georgia"
203,"196","Deschutes Obsidian Stout","OR, USA","Stout","6.70%","3.874 (44)",3.874,44,"OR","oregon"
204,"197","Lost Abbey The Angels Share (Bourbon Barrel)","CA, USA","English Barleywine","12.50%","3.873 (12)",3.873,12,"CA","california"
205,"198","Old Dominion Oak Barrel Stout","DE, USA","Stout","5.20%","3.871 (42)",3.871,42,"DE","delaware"
206,"199","Great Divide Fresh Hop Pale Ale","CO, USA","American Pale Ale","6.10%","3.871 (38)",3.871,38,"CO","colorado"
207,"200","The Duck-Rabbit Baltic Porter","NC, USA","Baltic Porter","9%","3.871 (14)",3.871,14,"NC","north carolina"
209,"201","Firestone Walker 16","CA, USA","Strong Ale","13%","3.871 (4)",3.871,4,"CA","california"
210,"202","Lost Abbey Isabelle Proximus","CA, USA","Wild Ale","7%","3.870 (7)",3.87,7,"CA","california"
211,"203","Stone Smoked Porter","CA, USA","Smoked Ale","5.90%","3.869 (94)",3.869,94,"CA","california"
212,"204","New Belgium Abbey Grand Cru","CO, USA","Abbey Dubbel","9.40%","3.868 (19)",3.868,19,"CO","colorado"
213,"205","Rogue Imperial Stout","OR, USA","Imperial Stout","10.50%","3.867 (47)",3.867,47,"OR","oregon"
214,"206","Victory DirtWolf","PA, USA","Imperial IPA","8.70%","3.867 (12)",3.867,12,"PA","pennsylvania"
215,"207","Goose Island Bourbon County Vanilla Stout","IL, USA","Imperial Stout","13%","3.867 (6)",3.867,6,"IL","illinois"
216,"208","Great Lakes Barrel Aged Blackout Stout","OH, USA","Imperial Stout","9%","3.865 (17)",3.865,17,"OH","ohio"
217,"209","Stone Smoked Porter (Vanilla Beans)","CA, USA","Porter","5.90%","3.864 (11)",3.864,11,"CA","california"
218,"210","Green Flash Double Stout","CA, USA","Imperial Stout","8.80%","3.863 (27)",3.863,27,"CA","california"
219,"211","Oggi's Witch Doctor","CA, USA","Imperial Stout","9.20%","3.860 (7)",3.86,7,"CA","california"
220,"212","Jolly Pumpkin Oro de Calabaza","MI, USA","Biere de Garde","8%","3.859 (41)",3.859,41,"MI","michigan"
221,"213","Hoppin' Frog Barrel Aged BORIS The Crusher","OH, USA","Imperial Stout","9.40%","3.859 (14)",3.859,14,"OH","ohio"
222,"214","Marin Eldridge Grade White Knuckle Double IPA","CA, USA","Imperial IPA","8%","3.858 (16)",3.858,16,"CA","california"
223,"215","Founders Porter","MI, USA","Porter","6.50%","3.857 (32)",3.857,32,"MI","michigan"
224,"216","Stone Sawyer's Triple","CA, USA","Abbey Tripel","7.60%","3.857 (11)",3.857,11,"CA","california"
225,"217","Sierra Nevada Barrel Aged Narwhal","CA, USA","Imperial Stout","12.90%","3.857 (4)",3.857,4,"CA","california"
226,"218","Uinta Crooked Line Sea Legs Baltic Porter","UT, USA","Baltic Porter","8%","3.856 (6)",3.856,6,"UT","utah"
227,"219","The Brew Kettle White Rajah","OH, USA","IPA","7%","3.855 (8)",3.855,8,"OH","ohio"
228,"220","Terrapin Big Hoppy Monster","GA, USA","Imperial IPA","8.30%","3.854 (34)",3.854,34,"GA","georgia"
229,"221","Allagash Curieux","ME, USA","Belgian Strong Ale","9.80%","3.853 (32)",3.853,32,"ME","maine"
230,"222","Pizza Port Mo Betta Bretta","CA, USA","Belgian Ale","6.30%","3.853 (12)",3.853,12,"CA","california"
231,"223","Stone 06.06.06 Vertical Epic Ale","CA, USA","Abbey Dubbel","8.66%","3.852 (24)",3.852,24,"CA","california"
232,"224","Heavyweight Perkunos Hammer","NJ, USA","Baltic Porter","8.30%","3.852 (20)",3.852,20,"NJ","new jersey"
