alphaAcidMin,betaAcidMax,betaAcidMin,caryophylleneMax,caryophylleneMin,category,cohumuloneMax,cohumuloneMin,countryCode,countryName,countryOfOrigin,description,farneseneMax,farneseneMin,humuleneMin,myrceneMax,myrceneMin,status
6,6,3.2,11,9,hop,40,35,GB,UNITED KINGDOM,GB,"One of the earliest bittering hops, Bullion was created in 1919 by an open pollinated cross between an unidentified English male and an wild Manitoba hop. Unlike modern bittering hops, Bullion has a strong, distinctive character which is perceptible, especially in additions later than 60 minutes. The aroma and flavor characteristics are strong, pungent and sometimes harsh or resiny, with elements of spiciness and a fruit character that has been described as black currant or raspberry. Bullion has become less popular with the wide availability of new bittering hops with better storage characteristics and a more neutral bittering character, but its unique flavor makes it worth considering for home and craft brewers.",1,,12,65,45,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
5.5,7,4.5,4.5,4.5,hop,40,33,US,UNITED STATES,US,"Cascade was created in the United States as an open-pollinated cross between Fuggle and Serebrianker. Its instantly recognizable grapefruit, floral aroma is characteristic of many American ales. Cascade is also one of the easiest hop varieties to grow; it can grow well under less than ideal conditions or in short growing seasons, and unlike most varieties, if started from a good rhizome a Cascade can produce a good crop even in its first growing season.",6,6,13,60,45,
,,,,,hop,,,,,,,,,,,,
6,4.5,3.5,8,4,hop,30,28,US,UNITED STATES,US,"Sometimes called a super Cascade, Centennial was bred in 1974 but not released until 1990. It has a floral, citrus aroma and a clean spicy flavor; its heritage includes Brewer's Gold, Fuggle, and East Kent Golding. Popular among craft brewers, Centennial lends its distinctive character to, among others, Sierra Nevada Celebration Ale and Sierra Nevada Bigfoot Barleywine.",1,,10,60,45,
6.5,4.5,4,10,8,hop,30,20,GB,UNITED KINGDOM,GB,"A granddaughter of Northern Brewer developed at Wye, Challenger is a classic true dual purpose hop and one of the most popular English hops of the 1980s and 1990s. It has a clean bittering from relatively high alpha acids and good aroma characteristics. It has a fine fruity aroma with spicy overtones. Like many other varieties developed at Wye, this hop is sometimes known as Wye Challenger, especially in older references. This simply indicates that it was developed at Wye, not necessarily anything about where it was grown.",3,1,25,42,30,
12,4,3,11,9,hop,35,29,US,UNITED STATES,US,"Released in 1985, Chinook is a strong bittering hop derived from Petham Golding, one of the English Golding hops. It is used in stouts and porters for its heavy spicy aroma.",1,,18,40,35,
11,4.5,3.5,8,6,hop,24,22,,,,"Comprised of Hallertau Mittelfrüh, US Tettnang, Brewer's Gold and East Kent Golding",1,,11,65,60,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
7,5.5,3,10,6,hop,43,36,US,UNITED STATES,US,"Columbia was generally considered similar, but inferior, to its sister selection, Willamette, and is now no longer commercially grown in the United States.",30,10,14,68,31,
,,,,,hop,,,,,,,,,,,,
14,5.8,4.5,12,7,hop,35,29,US,UNITED STATES,US,"This high alpha acid bittering hop was developed from the Centennial hop by the HopUnion breeding program. It is a low-cohumulone hop which gives a clean but long-lasting bitterness to beer. It can also be used as a dry hop in larger American beers, such as Pliny the Elder by Russian River Brewing. Tomahawk is a registered trademark of Yakima Chief Ranches, LLC, under which they sell a hop believed to be identical to Columbus.",1,,15,45,25,
,,,,,hop,,,,,,,,,,,,
3.5,6.7,4.5,8,4,hop,26,20,US,UNITED STATES,US,"A triploid released in 1993 as part of a program attempting to develop an American substitute for Hallertauer Mittelfr?h, Crystal was derived primarily from Hallertauer with contributions from Cascade, Brewer's Gold and Early Green. Also known as CJF-Hallertau. Sister hops from the same program include Liberty, Mount Hood, and Ultra. Crystal has a very mild character, clean and slightly spicy, and is generally used in lagers and pilsners.",0.1,0.1,18,65,40,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
4,2.8,1.9,16,12,hop,32,28,GB,UNITED KINGDOM,GB,"The premier English aroma hop, an English landrace with a lineage going back to 1790. Ideal for bittering and finishing any kind of English ales, and also works well in lagers due to its delicate, slightly spicy aroma.",0.4,0.4,38,25,25,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
,,,,,hop,,,,,,,,,,,,
14.4,5.1,4.6,,,hop,38,31.7,,,,"A pronounced aroma profile with citrus, tropical fruit, floral and herbal characteristics. Specific descriptors include lemon, lime, papaya, apple, and green pepper.",,,,,,
